AccusedRef,AccusedSystemId,AccusedID,FirstName,LastName,M_Firstname,M_Surname,Alias,Patronymic,DesTitle,Sex,Age,Age_estcareer,Age_estchild,Res_settlement,Res_parish,Res_presbytery,Res_county,Res_burgh,Res_NGR_Letters,Res_NGR_Easting,Res_NGR_Northing,Ethnic_origin,MaritalStatus,SocioecStatus,Occupation,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"A_EGD_10","EGD",10,"Mareon","Quheitt","Marion","White",,,,"Female",,0,0,"Sammuelston","P_JO_3539","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","08_09_02_11:40:51"
"A_EGD_100","EGD",100,"Thom","Cockburn","Thomas","Cockburn",,,,"Male",,0,0,,,,"Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_02_02_10:32:30"
"A_EGD_1000","EGD",1000,"Christian","Aitkenhead","Christine","Aikenhead",,,,"Female",,0,0,"Rottinraw",,,"Dumfries",,,,,,"Married",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_10:48:12"
"A_EGD_1001","EGD",1001,"Janet","Ireland","Janet","Ireland",,,,"Female",,0,0,"Rottinraw",,,"Dumfries",,,,,,"Widowed",,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_10:49:00"
"A_EGD_1002","EGD",1002,"Agnes","Hendersoun","Agnes","Henderson",,,,"Female",,0,0,,"P_ST_1446","Stirling","Stirling",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_10:50:07"
"A_EGD_1003","EGD",1003,"Margaret","Young","Margaret","Young",,,,"Female",,0,0,,"P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_10:51:51"
"A_EGD_1004","EGD",1004,"Margaret","Ridpeth","Margaret","Redpath",,,,"Female",,0,0,,"P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_10:53:14"
"A_EGD_1005","EGD",1005,"Janet","Reid","Janet","Reid",,,,"Female",50,0,1,,"P_ST_1359","Haddington","Haddington",,,,,,,,,"Has_a_daughter_accused_of_witchcraft_who_was_most_likely_not_younger_than_25,_25+25=50.","SMD","05_15_01_11:06:51","jhm","10_01_02_10:54:38"
"A_EGD_1006","EGD",1006,"Agnes","Rankein","Agnes","Rankin",,,,"Female",,0,0,,"P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_10:56:12"
"A_EGD_1007","EGD",1007,"Marion","Mitchell","Marion","Mitchell",,,,"Female",,0,0,"Leith","P_ST_33","Edinburgh","Edinburgh",,"NS",,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_10:57:22"
"A_EGD_1008","EGD",1008,"Agnes","Liddell","Agnes","Little",,,,"Female",,0,0,"Prestonpans","P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:01:59"
"A_EGD_1009","EGD",1009,"Margaret","Oliver","Margaret","Oliver",,,,"Female",,0,0,"Prestonpans","P_ST_1359","Haddington","Haddington",,,,,,,,,,"SMD","05_15_01_11:06:51","jhm","10_01_02_11:11:22"
