AppealRef,AppealSystemId,AppealID,Trialref,PersonRef,Centralauth,Reason,Appealexists,Appealdate,Appealdate_as_date,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"AP_JO_10","JO",10,"T_JO_89",,"Privy_Council","request_for_permission_to_arrest.",1,"1_4_1630","04_01_30_00:00:00","jhm","06_12_01_10:40:05","jhm","06_12_01_10:40:28"
"AP_JO_100","JO",100,"T_JO_1137",,"Privy_Council",,1,"29_1_1650","01_29_50_00:00:00","jhm","12_05_01_13:31:19","jhm","12_05_01_13:31:32"
"AP_JO_101","JO",101,"T_JO_1173",,"Parliament",,1,"13_6_1649","06_13_49_00:00:00","jhm","01_16_02_12:54:13","jhm","01_16_02_12:55:54"
"AP_JO_102","JO",102,"T_JO_1175",,"Parliament",,1,"13_6_1649","06_13_49_00:00:00","jhm","01_16_02_13:13:18","jhm","01_16_02_13:13:27"
"AP_JO_103","JO",103,"T_JO_1174",,"Parliament",,1,"13_6_1649","06_13_49_00:00:00","jhm","01_16_02_13:15:21","jhm","01_16_02_13:15:32"
"AP_JO_104","JO",104,"T_LA_1071",,"Privy_Council","presbytery_want_commission",1,"3_5_1643","05_03_43_00:00:00","jhm","02_19_02_12:26:01","jhm","02_19_02_12:26:23"
"AP_JO_105","JO",105,"T_LA_1073",,"Privy_Council",,1,"3_5_1643","05_03_43_00:00:00","jhm","02_19_02_12:29:56","jhm","02_19_02_12:30:07"
"AP_JO_106","JO",106,"T_LA_1072",,"Privy_Council",,1,"3_5_1643","05_03_43_00:00:00","jhm","02_19_02_12:37:22","jhm","02_19_02_12:37:31"
"AP_JO_107","JO",107,"T_JO_1411",,"Privy_Council","a_request_to_purchase_a_commission_for_torture",1,"10_11_1643","11_10_43_00:00:00","jhm","06_17_02_16:01:14","jhm","06_17_02_16:02:27"
"AP_JO_108","JO",108,"T_JO_1446",,,"kirk_session_to_ask_for_assize,_but_?from_whom",1,"13_7_1649","07_13_49_00:00:00","jhm","07_02_02_09:19:31","jhm","09_26_02_12:41:53"
"AP_JO_109","JO",109,"T_LA_1296",,,"letter_to_be_sent_to_civil_authorities",1,"6_1658","06_01_58_00:00:00","jhm","07_04_02_14:43:47","jhm","07_04_02_14:44:25"
"AP_JO_11","JO",11,"T_JO_90",,,"presbytery_request_commission_to_try_and_judge_her",1,"11_4_1649","04_11_49_00:00:00","jhm","06_13_01_09:25:25","LEM","06_22_01_14:44:41"
"AP_JO_110","JO",110,"T_JO_1538",,,"Dundee_magistrates_to_write_for_trial_commission",1,"29_6_1670","06_29_70_00:00:00","jhm","07_16_02_10:03:52","jhm","07_16_02_10:04:27"
"AP_JO_12","JO",12,"T_JO_91",,"Privy_Council","request_for_commission_of_justiciary",1,"20_6_1649","06_20_49_00:00:00","jhm","06_13_01_10:24:32","jhm","06_13_01_10:26:02"
"AP_JO_13","JO",13,"T_JO_92",,"Privy_Council","request_for_commission_of_justiciary",1,"20_6_1649","06_20_49_00:00:00","jhm","06_13_01_10:47:04","jhm","06_13_01_10:47:37"
"AP_JO_14","JO",14,"T_JO_93",,"Privy_Council","request_commission_of_justiciary",1,"20_6_1649","06_20_49_00:00:00","jhm","06_13_01_11:57:44","jhm","06_13_01_12:00:05"
"AP_JO_15","JO",15,"T_JO_96",,,"request_for_a_commission_for_trying_and_judging.",1,"11_7_1649","07_11_49_00:00:00","jhm","06_14_01_13:38:03","jhm","06_14_01_13:40:11"
"AP_JO_16","JO",16,"T_JO_97",,,"requested_to_try_and_judge_but_no_details",1,"11_7_1649","07_11_49_00:00:00","jhm","06_14_01_13:48:19","jhm","06_14_01_13:49:55"
"AP_JO_17","JO",17,"T_JO_98",,,"request_to_be_made_for_a_commission.",1,"11_7_1649","07_11_49_00:00:00","jhm","06_14_01_14:13:53","jhm","06_14_01_14:14:26"
"AP_JO_172","JO",172,"T_JO_1789",,"Parliament","From_the_Earl_of_Haddington.",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_15:28:15","jhm","09_26_02_15:29:29"
"AP_JO_173","JO",173,"T_JO_1713",,"Parliament","From_the_Earl_of_Haddington.",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_15:31:23","jhm","09_26_02_15:31:37"
"AP_JO_174","JO",174,"T_JO_1712",,"Parliament","From_the_Earl_of_Haddington.",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_15:51:15","jhm","09_26_02_15:51:30"
"AP_JO_175","JO",175,"T_JO_1790",,"Parliament","From_the_Earl_of_Haddington",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_15:58:25","jhm","09_26_02_15:58:36"
"AP_JO_176","JO",176,"T_JO_1791",,"Parliament","From_the_Earl_of_Haddington",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:06:38","jhm","09_26_02_16:06:54"
"AP_JO_177","JO",177,"T_LA_326",,"Parliament","From_the_Earl_of_Haddington",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:09:16","jhm","09_26_02_16:09:28"
"AP_JO_178","JO",178,"T_JO_1792",,"Parliament","From_the_Earl_of_Haddington.",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:17:19","jhm","09_26_02_16:17:35"
"AP_JO_179","JO",179,"T_JO_1632",,"Parliament","From_the_Earl_of_Haddington",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:22:09","jhm","09_26_02_16:22:24"
"AP_JO_18","JO",18,"T_JO_99",,,"no_info_about_which_body_the_commission_requested",1,"11_7_1649","07_11_49_00:00:00","jhm","06_14_01_14:22:48","jhm","06_14_01_14:23:49"
"AP_JO_180","JO",180,"T_JO_1793",,"Parliament","From_the_Earl_of_Haddington",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:25:22","jhm","09_26_02_16:25:39"
"AP_JO_181","JO",181,"T_JO_1794",,"Parliament","From_the_Earl_of_Haddington.",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:27:55","jhm","09_26_02_16:28:09"
"AP_JO_182","JO",182,"T_JO_1795",,"Parliament","From_the_Earl_of_Haddington.",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:31:50","jhm","09_26_02_16:32:02"
"AP_JO_183","JO",183,"T_JO_1796",,"Parliament","From_the_Earl_of_Haddington.",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:34:18","jhm","09_26_02_16:34:30"
"AP_JO_184","JO",184,"T_JO_1797",,"Parliament","From_the_Earl_of_Haddington",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:38:02","jhm","09_26_02_16:38:17"
"AP_JO_185","JO",185,"T_JO_1798",,"Parliament","From_the_Earl_of_Haddington.",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:40:23","jhm","09_26_02_16:40:41"
"AP_JO_186","JO",186,"T_JO_1799",,"Parliament","From_the_Earl_of_Haddington",1,"3_4_1661","04_03_61_00:00:00","jhm","09_26_02_16:42:33","jhm","09_26_02_16:42:49"
"AP_JO_187","JO",187,"T_JO_1129",,"Privy_Council",,1,"16_7_1650","07_16_50_00:00:00","jhm","10_22_02_13:59:38","jhm","10_22_02_13:59:51"
"AP_JO_19","JO",19,"T_JO_100",,,"no_details_about_which_authority",1,"11_7_1649","07_11_49_00:00:00","jhm","06_14_01_14:29:54","jhm","06_14_01_14:30:36"
"AP_JO_2","JO",2,"T_JO_81",,"Privy_Council","supplication_from_presbytery_to_ward_suspect.",1,"26_5_1630","05_26_30_00:00:00","jhm","06_08_01_10:29:25","jhm","06_08_01_10:30:53"
"AP_JO_20","JO",20,"T_JO_102",,,"no_reference_to_which_authority.",1,"11_7_1649","07_11_49_00:00:00","jhm","06_14_01_14:43:06","jhm","06_14_01_14:43:30"
"AP_JO_21","JO",21,"T_JO_104",,,"no_details_about_which_authority",1,"11_7_1649","07_11_49_00:00:00","jhm","06_14_01_15:01:02","jhm","06_14_01_15:01:21"
"AP_JO_22","JO",22,"T_JO_105",,,"no_detail_about_which_authority.",1,"11_7_1649","07_11_49_00:00:00","jhm","06_14_01_15:14:02","jhm","06_14_01_15:14:21"
"AP_JO_23","JO",23,"T_JO_107",,,"commission_for_trial_and_judge_requested",1,"25_7_1649","07_25_49_00:00:00","jhm","06_15_01_09:21:44","jhm","06_15_01_09:23:24"
"AP_JO_24","JO",24,"T_JO_108",,,"deposition_attested",1,"25_7_1649","07_25_49_00:00:00","jhm","06_15_01_09:38:48","jhm","06_15_01_09:39:23"
"AP_JO_25","JO",25,"T_JO_109",,,"deposition_attested",1,"25_7_1649","07_25_49_00:00:00","jhm","06_15_01_09:49:48","jhm","06_15_01_09:50:13"
"AP_JO_26","JO",26,"T_JO_111",,,"deposition_attested",1,"25_7_1649","07_25_49_00:00:00","jhm","06_15_01_10:00:13","jhm","06_15_01_10:00:29"
