CustomRef,CustomSystemId,CustomID,CaseRef,Custom_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CU_JO_102","JO",102,"C_EGD_745","Beltane","jhm","03_07_02_15:35:37","jhm","03_07_02_15:35:38"
"CU_JO_103","JO",103,"C_EGD_2153","Halloween","jhm","03_07_02_16:21:19","jhm","03_07_02_16:21:21"
"CU_JO_104","JO",104,"C_EGD_2119","Fastings_eve","jhm","05_02_02_12:32:40","jhm","05_02_02_12:32:42"
"CU_JO_105","JO",105,"C_EGD_2119","Halloween","jhm","05_02_02_12:45:25","jhm","05_02_02_12:45:47"
"CU_JO_106","JO",106,"C_EGD_2172","Halloween","jhm","05_08_02_16:51:26","jhm","05_08_02_16:51:27"
"CU_JO_107","JO",107,"C_EGD_2172","Ruidday","jhm","05_08_02_16:51:30","jhm","05_08_02_16:51:36"
"CU_JO_108","JO",108,"C_EGD_2168","Ruidday","jhm","05_13_02_10:18:21","jhm","05_13_02_10:18:23"
"CU_JO_109","JO",109,"C_EGD_2174","Ruidday","jhm","05_13_02_12:13:50","jhm","05_13_02_12:13:51"
"CU_JO_11","JO",11,"C_EGD_1318","Easter","jhm","06_15_01_09:43:48","jhm","06_15_01_09:43:49"
"CU_JO_110","JO",110,"C_EGD_2174","Whitsunday","jhm","05_13_02_12:18:11","jhm","05_13_02_12:18:12"
"CU_JO_111","JO",111,"C_EGD_2163","Halloween","jhm","05_14_02_16:18:23","jhm","05_14_02_16:18:24"
"CU_JO_112","JO",112,"C_JO_3033","Halloween","jhm","05_16_02_11:32:20","jhm","05_16_02_11:32:23"
"CU_JO_113","JO",113,"C_EGD_2154","Halloween","jhm","05_16_02_11:58:30","jhm","05_16_02_11:58:30"
"CU_JO_114","JO",114,"C_JO_3035","Halloween","jhm","06_03_02_11:52:57","jhm","06_03_02_11:52:58"
"CU_JO_115","JO",115,"C_EGD_2161","Halloween","jhm","06_03_02_12:24:44","jhm","06_03_02_12:24:45"
"CU_JO_116","JO",116,"C_EGD_2162","Halloween","jhm","06_03_02_15:22:02","jhm","06_03_02_15:22:03"
"CU_JO_117","JO",117,"C_JO_3036","Halloween","jhm","06_03_02_15:48:55","jhm","06_03_02_15:48:57"
"CU_JO_118","JO",118,"C_EGD_2154","Quarter_day","jhm","06_03_02_17:11:39","jhm","06_03_02_17:11:48"
"CU_JO_119","JO",119,"C_JO_3033","Nuris_Day","jhm","06_10_02_17:27:01","jhm","06_10_02_17:27:06"
"CU_JO_12","JO",12,"C_EGD_604","Halloween","jhm","06_27_01_12:11:27","jhm","06_27_01_12:11:35"
"CU_JO_120","JO",120,"C_EGD_2130","Ruidday","jhm","06_10_02_18:06:32","jhm","06_10_02_18:06:33"
"CU_JO_121","JO",121,"C_EGD_2130","Halloween","jhm","06_10_02_18:06:34","jhm","06_10_02_18:06:35"
"CU_JO_122","JO",122,"C_EGD_2122","Ruidday","jhm","06_10_02_18:49:42","jhm","06_10_02_18:49:43"
"CU_JO_123","JO",123,"C_EGD_2122","Halloween","jhm","06_10_02_18:49:43","jhm","06_10_02_18:49:44"
"CU_JO_124","JO",124,"C_EGD_2123","Ruidday","jhm","06_10_02_20:49:08","jhm","06_10_02_20:49:09"
"CU_JO_125","JO",125,"C_EGD_2327","Michaelmas","jhm","06_19_02_15:54:01","jhm","06_19_02_15:54:03"
"CU_JO_142","JO",142,"C_EGD_294","Harvest","jhm","07_04_02_11:55:04","jhm","07_04_02_11:55:05"
"CU_JO_143","JO",143,"C_EGD_2158","Halloween","jhm","07_11_02_09:13:56","jhm","07_11_02_09:13:57"
"CU_JO_144","JO",144,"C_JO_3107","Ruidday","jhm","07_18_02_08:59:24","jhm","07_18_02_08:59:25"
"CU_JO_145","JO",145,"C_JO_3108","Halloween","jhm","07_18_02_09:36:50","jhm","07_18_02_09:36:51"
"CU_JO_147","JO",147,"C_EGD_1854","Quarter_day","jhm","07_22_02_12:51:10","jhm","07_22_02_12:51:11"
"CU_JO_161","JO",161,"C_EGD_1533","All_Saints_Day","jhm","08_27_02_09:49:07","jhm","08_27_02_09:49:32"
"CU_JO_162","JO",162,"C_EGD_1533","Harvest","jhm","08_27_02_10:07:23","jhm","08_27_02_10:07:25"
"CU_JO_163","JO",163,"C_EGD_1527","All_Saints_Day","jhm","08_27_02_10:28:08","jhm","08_27_02_10:28:08"
"CU_JO_164","JO",164,"C_EGD_604","All_Saints_Day","jhm","08_27_02_11:21:37","jhm","08_27_02_11:21:38"
"CU_JO_165","JO",165,"C_JO_3247","Sabbath","jhm","08_27_02_13:46:50","jhm","08_27_02_13:46:58"
"CU_JO_166","JO",166,"C_EGD_2160",,"jhm","10_24_02_11:29:01","jhm","10_24_02_11:29:05"
"CU_JO_23","JO",23,"C_EGD_402","Fastings_eve","jhm","07_10_01_11:05:37","jhm","07_10_01_11:05:59"
"CU_JO_28","JO",28,"C_EGD_1770","Handsel_Monday","jhm","08_16_01_09:49:08","jhm","08_16_01_09:49:17"
"CU_JO_43","JO",43,"C_EGD_1367","Martinmas","jhm","10_19_01_10:35:52","jhm","10_19_01_10:35:54"
"CU_JO_8","JO",8,"C_EGD_2121","Halloween","jhm","06_05_01_15:05:53","jhm","06_05_01_15:06:15"
"CU_JO_9","JO",9,"C_EGD_1324","Easter","jhm","06_13_01_12:53:44","jhm","06_13_01_12:53:53"
"CU_LA_1","LA",1,"C_EGD_160","Martinmas","LEM","05_17_01_10:51:29","LEM","05_17_01_10:51:51"
"CU_LA_10","LA",10,"C_EGD_173","Michaelmas","LEM","06_15_01_12:59:20","LEM","06_15_01_12:59:50"
"CU_LA_100","LA",100,"C_EGD_1747","Harvest","LEM","01_16_02_12:00:20","LEM","01_16_02_12:00:57"
"CU_LA_101","LA",101,"C_EGD_737","Candlemas","LEM","02_18_02_17:03:11","LEM","02_18_02_17:03:15"
"CU_LA_104","LA",104,"C_EGD_1094","Barthills_Day","LEM","05_02_02_16:01:26","LEM","05_02_02_16:01:31"
"CU_LA_105","LA",105,"C_EGD_1153","Michaelmas","LEM","05_02_02_16:53:49","LEM","05_02_02_16:53:55"
"CU_LA_106","LA",106,"C_LA_2636","Michaelmas","LEM","05_02_02_17:03:07","LEM","05_02_02_17:03:09"
"CU_LA_107","LA",107,"C_EGD_1058","Easter","LEM","05_07_02_09:35:34","LEM","05_07_02_09:35:36"
"CU_LA_108","LA",108,"C_EGD_1058","Lammas","LEM","05_07_02_09:35:37","LEM","05_07_02_09:35:38"
"CU_LA_109","LA",109,"C_EGD_1058","Whitsunday","LEM","05_07_02_09:35:40","LEM","05_07_02_09:35:43"
"CU_LA_12","LA",12,"C_EGD_374","Yule","LEM","06_27_01_16:20:42","LEM","06_27_01_16:20:43"
"CU_LA_125","LA",125,"C_EGD_963","Midsummer","LEM","06_17_02_10:31:41","LEM","06_17_02_10:32:29"
"CU_LA_126","LA",126,"C_EGD_963","Harvest","LEM","06_17_02_10:35:03","LEM","06_17_02_10:35:46"
"CU_LA_127","LA",127,"C_EGD_963","Saint_Magnus_Day","LEM","06_17_02_10:41:18","LEM","06_17_02_10:41:24"
"CU_LA_128","LA",128,"C_EGD_964","Midsummer","LEM","06_17_02_11:00:24","LEM","06_17_02_11:00:26"
"CU_LA_129","LA",129,"C_EGD_964","Harvest","LEM","06_17_02_11:01:18","LEM","06_17_02_11:01:22"
"CU_LA_13","LA",13,"C_EGD_374","Candlemas","LEM","06_27_01_16:20:51","LEM","06_27_01_16:21:23"
"CU_LA_130","LA",130,"C_EGD_964","Our_Lady_Day_(Harvest)","LEM","06_17_02_11:02:49","LEM","06_17_02_11:02:56"
"CU_LA_131","LA",131,"C_EGD_2208","Candlemas","LEM","06_17_02_16:41:24","LEM","06_17_02_16:41:25"
"CU_LA_132","LA",132,"C_EGD_2244","Candlemas","LEM","06_19_02_11:03:51","LEM","06_19_02_11:03:52"
"CU_LA_133","LA",133,"C_EGD_2244","Halloween","LEM","06_19_02_11:03:53","LEM","06_19_02_11:03:53"
"CU_LA_134","LA",134,"C_EGD_2244","Saint_Thomas_Eve","LEM","06_19_02_11:03:54","LEM","06_19_02_11:04:07"
"CU_LA_135","LA",135,"C_EGD_2212","Yule","LEM","06_19_02_12:09:26","LEM","06_19_02_12:09:31"
"CU_LA_136","LA",136,"C_EGD_2220","Halloween","LEM","06_19_02_14:01:52","LEM","06_19_02_14:01:53"
"CU_LA_137","LA",137,"C_EGD_2220","Holy_Cross_day","LEM","06_19_02_14:01:53","LEM","06_19_02_14:01:58"
"CU_LA_138","LA",138,"C_EGD_2220","Yule","LEM","06_19_02_14:07:09","LEM","06_19_02_14:07:10"
"CU_LA_139","LA",139,"C_EGD_2219","Halloween","LEM","06_19_02_14:26:30","LEM","06_19_02_14:26:31"
"CU_LA_14","LA",14,"C_EGD_380","Beltane","LEM","06_29_01_11:10:19","LEM","06_29_01_11:10:20"
"CU_LA_140","LA",140,"C_EGD_2245","Halloween","LEM","06_19_02_15:19:40","LEM","06_19_02_15:19:41"
"CU_LA_141","LA",141,"C_EGD_2255","Halloween","LEM","06_19_02_16:18:20","LEM","06_19_02_16:18:21"
"CU_LA_143","LA",143,"C_LA_3100","Easter","LEM","07_10_02_08:59:15","LEM","07_10_02_08:59:22"
"CU_LA_144","LA",144,"C_EGD_783","Lammas","LEM","07_15_02_16:26:41","LEM","07_15_02_16:26:42"
"CU_LA_145","LA",145,"C_EGD_783","Whitsunday","LEM","07_15_02_16:31:22","LEM","07_15_02_16:31:23"
"CU_LA_146","LA",146,"C_EGD_291","Lent","LEM","07_18_02_10:35:19","LEM","07_18_02_10:35:23"
"CU_LA_147","LA",147,"C_EGD_792","Beltane","LEM","07_23_02_15:20:29","LEM","07_23_02_15:20:32"
"CU_LA_148","LA",148,"C_LA_3136","Halloween","LEM","07_23_02_15:27:54","LEM","10_08_02_10:39:59"
"CU_LA_149","LA",149,"C_EGD_28","Halloween","LEM","07_24_02_12:30:31","LEM","07_24_02_12:30:33"
"CU_LA_15","LA",15,"C_EGD_365","Beltane","LEM","06_29_01_11:55:06","LEM","06_29_01_11:55:09"
"CU_LA_150","LA",150,"C_EGD_107","Lammas","LEM","07_26_02_10:05:20","LEM","07_26_02_10:05:33"
"CU_LA_151","LA",151,"C_LA_3142","Lammas","LEM","07_26_02_11:57:07","LEM","07_26_02_11:57:09"
"CU_LA_152","LA",152,"C_LA_3142","Midsummer","LEM","07_26_02_11:57:10","LEM","07_26_02_11:58:53"
"CU_LA_153","LA",153,"C_EGD_345","Whitsunday","LEM","07_30_02_11:17:10","LEM","07_30_02_11:17:13"
