Case_personRef,Case_personID,Case_personSystemId,CaseRef,PersonRef,Involvement,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CP_JO_1",1,"JO","C_EGD_2120","JO_1","Sheriff-depute",,"jhm","05_16_01_14:58:32","jhm","05_16_01_15:03:18"
"CP_JO_100",100,"JO","C_EGD_1138","JO_81","Commissioner",,"jhm","06_12_01_09:59:28","jhm","06_12_01_09:59:44"
"CP_JO_104",104,"JO","C_EGD_1137","JO_82","Commissioner",,"jhm","06_12_01_10:13:34","jhm","06_12_01_10:16:00"
"CP_JO_1043",1043,"JO","C_EGD_400","JO_368","Investigator","heard_confession","jhm","07_16_01_10:19:41","jhm","07_16_01_10:23:00"
"CP_JO_1044",1044,"JO","C_EGD_400","JO_369",,"attended_trial","jhm","07_16_01_10:56:46","jhm","07_16_01_10:58:27"
"CP_JO_1045",1045,"JO","C_EGD_400","JO_370",,"attended_trial","jhm","07_16_01_11:00:25","jhm","07_16_01_11:01:20"
"CP_JO_1046",1046,"JO","C_EGD_1379","LA_47","Commissioner",,"jhm","07_16_01_12:48:53","jhm","07_16_01_12:49:21"
"CP_JO_1047",1047,"JO","C_EGD_1379","LA_348","Commissioner",,"jhm","07_16_01_12:49:25","jhm","07_16_01_12:49:29"
"CP_JO_1048",1048,"JO","C_EGD_1379","LA_347","Commissioner",,"jhm","07_16_01_12:49:32","jhm","07_16_01_12:50:19"
"CP_JO_1049",1049,"JO","C_EGD_296","LA_47","Commissioner",,"jhm","07_16_01_13:34:44","jhm","07_16_01_13:34:47"
"CP_JO_105",105,"JO","C_EGD_1137","JO_81","Commissioner",,"jhm","06_12_01_10:16:01","jhm","06_12_01_10:17:17"
"CP_JO_1050",1050,"JO","C_EGD_296","LA_348","Commissioner",,"jhm","07_16_01_13:34:50","jhm","07_16_01_13:34:52"
"CP_JO_1051",1051,"JO","C_EGD_296","LA_347","Commissioner",,"jhm","07_16_01_13:34:53","jhm","07_16_01_13:35:38"
"CP_JO_1052",1052,"JO","C_EGD_299","LA_47","Commissioner",,"jhm","07_16_01_15:05:50","jhm","07_16_01_15:05:53"
"CP_JO_1053",1053,"JO","C_EGD_299","LA_348","Commissioner",,"jhm","07_16_01_15:05:56","jhm","07_16_01_15:05:59"
"CP_JO_1054",1054,"JO","C_EGD_299","LA_347","Commissioner",,"jhm","07_16_01_15:06:02","jhm","07_16_01_15:06:10"
"CP_JO_1055",1055,"JO","C_EGD_401","LA_278","Prosecutor",,"jhm","07_16_01_15:40:05","jhm","07_16_01_15:40:52"
"CP_JO_1056",1056,"JO","C_EGD_401","LA_295","Prosecutor",,"jhm","07_16_01_15:42:51","jhm","07_16_01_15:43:09"
"CP_JO_1057",1057,"JO","C_LA_2805","LA_310","Commissioner",,"jhm","07_17_01_09:09:47","jhm","07_17_01_09:10:12"
"CP_JO_1058",1058,"JO","C_LA_2805","LA_335","Commissioner",,"jhm","07_17_01_09:10:13","jhm","07_17_01_09:10:18"
"CP_JO_1059",1059,"JO","C_LA_2805","LA_356","Commissioner",,"jhm","07_17_01_09:10:21","jhm","07_17_01_09:11:13"
"CP_JO_106",106,"JO","C_EGD_1136","JO_82","Commissioner",,"jhm","06_12_01_10:27:59","jhm","06_12_01_10:28:06"
"CP_JO_1060",1060,"JO","C_LA_2805","JO_372","Commissioner",,"jhm","07_17_01_09:11:52","jhm","07_17_01_09:12:48"
"CP_JO_1061",1061,"JO","C_LA_2805","LA_358","Commissioner",,"jhm","07_17_01_09:12:53","jhm","07_17_01_09:13:06"
"CP_JO_1062",1062,"JO","C_LA_2805","JO_373","Commissioner",,"jhm","07_17_01_09:13:39","jhm","07_17_01_09:14:30"
"CP_JO_1063",1063,"JO","C_EGD_1602","JO_371","Commissioner",,"jhm","07_17_01_09:17:55","jhm","07_17_01_09:18:14"
"CP_JO_1064",1064,"JO","C_EGD_1602","LA_335","Commissioner",,"jhm","07_17_01_09:18:16","jhm","07_17_01_09:18:23"
"CP_JO_1065",1065,"JO","C_EGD_1602","LA_356","Commissioner",,"jhm","07_17_01_09:18:23","jhm","07_17_01_09:18:27"
"CP_JO_1066",1066,"JO","C_EGD_1602","JO_373","Commissioner",,"jhm","07_17_01_09:18:28","jhm","07_17_01_09:18:36"
"CP_JO_1067",1067,"JO","C_EGD_1602","JO_372","Commissioner",,"jhm","07_17_01_09:18:38","jhm","07_17_01_09:18:44"
"CP_JO_1068",1068,"JO","C_EGD_1602","LA_358","Commissioner",,"jhm","07_17_01_09:18:46","jhm","07_17_01_09:18:57"
"CP_JO_1069",1069,"JO","C_EGD_1601","LA_335","Commissioner",,"jhm","07_17_01_09:22:38","jhm","07_17_01_09:22:41"
"CP_JO_107",107,"JO","C_EGD_1136","JO_81","Commissioner",,"jhm","06_12_01_10:28:09","jhm","06_12_01_10:28:15"
"CP_JO_1070",1070,"JO","C_EGD_1601","JO_372","Commissioner",,"jhm","07_17_01_09:22:44","jhm","07_17_01_09:22:53"
"CP_JO_1071",1071,"JO","C_EGD_427","JO_372","Commissioner",,"jhm","07_17_01_09:25:24","jhm","07_17_01_09:25:30"
"CP_JO_1072",1072,"JO","C_EGD_427","LA_335","Commissioner",,"jhm","07_17_01_09:25:33","jhm","07_17_01_09:25:39"
"CP_JO_1073",1073,"JO","C_EGD_426","LA_356","Commissioner",,"jhm","07_17_01_09:27:39","jhm","07_17_01_10:15:47"
"CP_JO_1074",1074,"JO","C_EGD_426","LA_357","Commissioner",,"jhm","07_17_01_09:27:47","jhm","07_17_01_10:16:05"
"CP_JO_1075",1075,"JO","C_EGD_387","JO_371","Commissioner",,"jhm","07_17_01_09:40:57","jhm","07_17_01_09:41:04"
"CP_JO_1076",1076,"JO","C_EGD_387","LA_335","Commissioner",,"jhm","07_17_01_09:41:06","jhm","07_17_01_09:41:08"
"CP_JO_1077",1077,"JO","C_EGD_387","LA_356","Commissioner",,"jhm","07_17_01_09:41:10","jhm","07_17_01_09:41:17"
"CP_JO_1078",1078,"JO","C_EGD_387","JO_373","Commissioner",,"jhm","07_17_01_09:41:19","jhm","07_17_01_09:41:23"
"CP_JO_1079",1079,"JO","C_EGD_387","JO_372","Commissioner",,"jhm","07_17_01_09:41:25","jhm","07_17_01_09:41:32"
"CP_JO_108",108,"JO","C_EGD_1605","JO_97","Investigator",,"jhm","06_12_01_16:22:31","jhm","06_12_01_16:26:06"
"CP_JO_1080",1080,"JO","C_EGD_387","LA_358","Commissioner",,"jhm","07_17_01_09:41:33","jhm","07_17_01_09:41:43"
"CP_JO_1081",1081,"JO","C_EGD_1598","JO_371","Commissioner",,"jhm","07_17_01_09:52:37","jhm","07_17_01_09:52:44"
"CP_JO_1082",1082,"JO","C_EGD_1598","LA_335","Commissioner",,"jhm","07_17_01_09:52:46","jhm","07_17_01_09:52:48"
"CP_JO_1083",1083,"JO","C_EGD_1598","LA_356","Commissioner",,"jhm","07_17_01_09:52:49","jhm","07_17_01_09:52:52"
"CP_JO_1084",1084,"JO","C_EGD_1598","JO_373","Commissioner",,"jhm","07_17_01_09:52:53","jhm","07_17_01_09:52:59"
"CP_JO_1085",1085,"JO","C_EGD_1598","JO_372","Commissioner",,"jhm","07_17_01_09:53:01","jhm","07_17_01_09:53:10"
"CP_JO_1086",1086,"JO","C_EGD_1598","LA_358","Commissioner",,"jhm","07_17_01_09:53:11","jhm","07_17_01_09:53:21"
"CP_JO_1087",1087,"JO","C_EGD_1604","JO_372","Commissioner",,"jhm","07_17_01_09:55:52","jhm","07_17_01_09:55:59"
"CP_JO_1088",1088,"JO","C_EGD_1604","LA_335","Commissioner",,"jhm","07_17_01_09:56:07","jhm","07_17_01_09:56:11"
"CP_JO_1089",1089,"JO","C_EGD_432","JO_371","Commissioner",,"jhm","07_17_01_10:13:31","jhm","07_17_01_10:13:38"
"CP_JO_109",109,"JO","C_EGD_1605","LA_22","Investigator",,"jhm","06_12_01_16:26:32","jhm","06_12_01_16:27:28"
"CP_JO_1090",1090,"JO","C_EGD_432","LA_335","Commissioner",,"jhm","07_17_01_10:13:39","jhm","07_17_01_10:13:41"
"CP_JO_1091",1091,"JO","C_EGD_432","LA_356","Commissioner",,"jhm","07_17_01_10:13:43","jhm","07_17_01_10:13:50"
"CP_JO_1092",1092,"JO","C_EGD_432","JO_373","Commissioner",,"jhm","07_17_01_10:13:51","jhm","07_17_01_10:13:56"
"CP_JO_1093",1093,"JO","C_EGD_432","JO_372","Commissioner",,"jhm","07_17_01_10:13:58","jhm","07_17_01_10:14:03"
"CP_JO_1094",1094,"JO","C_EGD_432","LA_358","Commissioner",,"jhm","07_17_01_10:14:04","jhm","07_17_01_10:14:14"
"CP_JO_1095",1095,"JO","C_EGD_426","LA_358","Commissioner",,"jhm","07_17_01_10:16:08","jhm","07_17_01_10:16:15"
"CP_JO_1096",1096,"JO","C_LA_2788","JO_307","Minister","to_confer_and_pray_with_accused","jhm","07_17_01_15:30:19","jhm","07_17_01_15:30:41"
"CP_JO_1097",1097,"JO","C_LA_2788","JO_295","Minister","to_confer_and_pray_with_accused","jhm","07_17_01_15:30:42","jhm","07_17_01_15:31:09"
"CP_JO_1098",1098,"JO","C_LA_2788","JO_374","Minister","to_confer_and_pray_with_accused","jhm","07_17_01_15:45:31","jhm","07_17_01_15:46:26"
"CP_JO_1099",1099,"JO","C_LA_2788","LA_1401","Minister","to_confer_and_pray_with_her","jhm","07_17_01_15:46:30","jhm","12_15_03_10:27:14"
"CP_JO_110",110,"JO","C_EGD_1605","JO_99","Investigator","heard_her_confession","jhm","06_13_01_09:28:48","LEM","07_12_02_10:25:46"
"CP_JO_1100",1100,"JO","C_LA_2788","JO_375","Minister","to_confer_and_pray_with_her","jhm","07_17_01_15:46:59","jhm","07_17_01_15:47:48"
"CP_JO_1101",1101,"JO","C_LA_2788","JO_302","Minister","to_confer_and_pray_with_her","jhm","07_17_01_15:47:52","jhm","07_17_01_15:48:07"
"CP_JO_1102",1102,"JO","C_LA_2788","JO_376","Minister","to_confer_and_pray_with_her","jhm","07_17_01_15:48:11","jhm","07_17_01_15:49:50"
"CP_JO_1103",1103,"JO","C_LA_2788","JO_377","Minister","to_confer_with_her_and_pray","jhm","07_17_01_15:49:50","jhm","07_17_01_16:27:46"
"CP_JO_1104",1104,"JO","C_EGD_1408","LA_343","Commissioner",,"jhm","07_18_01_09:27:31","jhm","07_18_01_09:27:42"
"CP_JO_1105",1105,"JO","C_EGD_1408","LA_978","Commissioner",,"jhm","07_18_01_09:27:44","jhm","11_18_03_10:20:10"
"CP_JO_1106",1106,"JO","C_EGD_1408","LA_280","Commissioner",,"jhm","07_18_01_09:30:21","jhm","07_18_01_09:30:27"
"CP_JO_1107",1107,"JO","C_EGD_1408","JO_379","Commissioner",,"jhm","07_18_01_09:30:29","jhm","07_18_01_09:31:10"
"CP_JO_1108",1108,"JO","C_EGD_1408","JO_380","Commissioner",,"jhm","07_18_01_09:31:14","jhm","07_18_01_09:31:35"
"CP_JO_1109",1109,"JO","C_EGD_1408","JO_381","Commissioner",,"jhm","07_18_01_09:31:37","jhm","07_18_01_09:32:11"
"CP_JO_111",111,"JO","C_EGD_1328","JO_100","Investigator",,"jhm","06_13_01_10:19:40","jhm","06_13_01_10:20:38"
"CP_JO_1110",1110,"JO","C_EGD_1408","JO_310","Minister",,"jhm","07_18_01_09:37:24","jhm","07_18_01_09:37:35"
"CP_JO_1111",1111,"JO","C_EGD_1407","LA_343","Commissioner",,"jhm","07_18_01_09:44:29","jhm","07_18_01_09:44:36"
"CP_JO_1112",1112,"JO","C_EGD_1407","LA_978","Commissioner",,"jhm","07_18_01_09:44:38","jhm","11_18_03_10:20:10"
"CP_JO_1113",1113,"JO","C_EGD_1407","LA_280","Commissioner",,"jhm","07_18_01_09:44:50","jhm","07_18_01_09:44:56"
"CP_JO_1114",1114,"JO","C_EGD_1407","JO_379","Commissioner",,"jhm","07_18_01_09:44:58","jhm","07_18_01_09:45:05"
"CP_JO_1115",1115,"JO","C_EGD_1407","JO_380","Commissioner",,"jhm","07_18_01_09:45:07","jhm","07_18_01_09:45:12"
"CP_JO_1116",1116,"JO","C_EGD_1407","JO_381","Commissioner",,"jhm","07_18_01_09:45:13","jhm","07_18_01_09:45:20"
"CP_JO_1117",1117,"JO","C_EGD_617","JO_382","Minister","interviewed_Penman_in_attempts_to_get_him_to_confess_sin_of_adultery","jhm","07_18_01_12:14:15","jhm","07_18_01_12:29:08"
"CP_JO_1118",1118,"JO","C_EGD_617","JO_383","Minister","involved_in_investigations_about_accusations_of_adultery","jhm","07_18_01_12:21:38","jhm","07_18_01_12:29:25"
"CP_JO_1119",1119,"JO","C_EGD_617","JO_384","Minister","involved_in_the_investigations_about_Penman's_adultery","jhm","07_18_01_12:23:53","jhm","07_18_01_12:32:54"
"CP_JO_112",112,"JO","C_JO_2662","JO_100","Investigator",,"jhm","06_13_01_10:46:49","jhm","06_13_01_10:46:53"
"CP_JO_1120",1120,"JO","C_EGD_617","JO_385",,"involved_with_Penman_and_accused_of_committing_adultery_with_him","jhm","07_18_01_14:32:11","jhm","07_18_01_14:34:03"
"CP_JO_1121",1121,"JO","C_EGD_1407","JO_310","Minister",,"jhm","07_18_01_15:29:25","jhm","07_18_01_15:29:40"
"CP_JO_113",113,"JO","C_EGD_1328","JO_101","Witch-pricker",,"jhm","06_13_01_10:56:28","jhm","06_13_01_10:57:55"
"CP_JO_114",114,"JO","C_EGD_1328","JO_102","Investigator",,"jhm","06_13_01_10:57:56","jhm","06_13_01_10:59:03"
"CP_JO_115",115,"JO","C_EGD_1328","JO_103","Investigator",,"jhm","06_13_01_10:59:23","jhm","06_13_01_11:00:20"
