CommissionRef,CommissionSystemId,CommissionID,Trialref,Commbody,Commtype,Commexists,Commdate,Commdate_as_date,Seal,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CO_JO_798","JO",798,"T_JO_944","Privy_Council","Justiciary",1,"7_5_1662","05_07_62_00:00:00",,"commission_ordered_to_try_suspects_and_report_to_council_before_sentence,_?investigation","jhm","10_09_01_11:50:09","jhm","10_09_01_11:50:39"
"CO_JO_799","JO",799,"T_JO_945","Privy_Council","Justiciary",1,"7_5_1662","05_07_62_00:00:00",,"commission_ordered_to_try_suspects_and_report_to_council_before_sentence,_?investigation","jhm","10_09_01_11:54:05","jhm","10_09_01_11:56:13"
"CO_JO_800","JO",800,"T_JO_946","Privy_Council","Justiciary",1,"7_5_1662","05_07_62_00:00:00",,"commission_ordered_to_try_suspect_and_report_to_council_before_sentence,_?investigation","jhm","10_09_01_11:59:29","jhm","10_09_01_11:59:56"
"CO_JO_801","JO",801,"T_JO_947","Privy_Council","Justiciary",1,"7_5_1662","05_07_62_00:00:00",,"commission_ordered_to_try_suspects_and_report_to_council_before_sentence,_?investigation","jhm","10_09_01_12:05:51","jhm","10_09_01_12:06:16"
"CO_JO_802","JO",802,"T_JO_948","Privy_Council","Justiciary",1,"7_5_1662","05_07_62_00:00:00",,,"jhm","10_09_01_12:20:39","jhm","10_09_01_12:20:47"
"CO_JO_803","JO",803,"T_JO_949","Privy_Council","Justiciary",1,"7_5_1662","05_07_62_00:00:00",,,"jhm","10_09_01_12:24:00","jhm","10_09_01_12:24:07"
"CO_JO_804","JO",804,"T_JO_950","Privy_Council","Justiciary",1,"19_5_1662","05_19_62_00:00:00",,"To_try_suspect_and_report_to_council_before_sentence,_?investigation","jhm","10_09_01_12:40:09","jhm","10_21_02_16:10:21"
"CO_JO_805","JO",805,"T_JO_950","Privy_Council","Justiciary",1,"28_7_1662","07_28_62_00:00:00",,"To_try_suspect_who_had_confessed_to_witchcraft","jhm","10_09_01_12:40:47","jhm","10_21_02_16:10:26"
"CO_JO_806","JO",806,"T_JO_951","Privy_Council","Justiciary",1,"19_5_1662","05_19_62_00:00:00",,"commission_ordered_to_try_suspect_and_report_to_council_before_sentence,_?investigation","jhm","10_09_01_13:02:35","jhm","10_09_01_13:03:03"
"CO_JO_807","JO",807,"T_JO_952","Privy_Council","Justiciary",1,"19_5_1662","05_19_62_00:00:00",,"commission_to_try_accused_and_report_to_council_before_sentence,_?investigation","jhm","10_09_01_13:13:32","jhm","10_09_01_13:14:02"
"CO_JO_808","JO",808,"T_JO_952","Privy_Council","Justiciary",1,"10_7_1662","07_10_62_00:00:00",,"commission_to_try_accused_who_had_confessed_to_witchcraft","jhm","10_09_01_13:14:07","jhm","10_09_01_13:14:43"
"CO_JO_809","JO",809,"T_JO_951","Privy_Council","Justiciary",1,"10_7_1662","07_10_62_00:00:00",,"commission_to_try_accused_after_he_had_confessed","jhm","10_09_01_13:17:13","jhm","10_09_01_13:17:30"
"CO_JO_810","JO",810,"T_JO_953","Privy_Council","Justiciary",1,"19_5_1662","05_19_62_00:00:00",,"commission_ordered_to_try_suspect_and_report_to_council_before_sentence,_?investigation","jhm","10_09_01_13:27:28","jhm","10_09_01_13:27:55"
"CO_JO_811","JO",811,"T_JO_953","Privy_Council","Justiciary",1,"16_9_1662","09_16_62_00:00:00",,"commission_to_try_suspect_who_had_confessed_to_crime","jhm","10_09_01_13:36:26","jhm","10_09_01_13:36:52"
"CO_JO_812","JO",812,"T_JO_954","Privy_Council","Justiciary",1,"16_9_1662","09_16_62_00:00:00",,,"jhm","10_09_01_14:56:59","jhm","10_09_01_14:57:08"
"CO_JO_813","JO",813,"T_JO_955","Privy_Council","Justiciary",1,"19_5_1662","05_19_62_00:00:00",,"commission_to_try_accused_who_had_confessed_and_to_report_to_council_before_sentence","jhm","10_09_01_15:15:55","jhm","10_09_01_15:17:11"
"CO_JO_814","JO",814,"T_JO_956","Privy_Council","Justiciary",1,"19_5_1662","05_19_62_00:00:00",,"Commission_ordered_to_try_accused_after_she_had_confessed_and_report_to_council_before_sentence","jhm","10_09_01_15:23:17","jhm","10_09_01_15:23:51"
"CO_JO_815","JO",815,"T_JO_957","Privy_Council","Justiciary",1,"19_6_1662","06_19_62_00:00:00",,"order_to_transfer_accused_to_Edinburgh_to_be_tried_by_Justice_Deputes","jhm","10_09_01_15:31:01","jhm","10_09_01_15:35:51"
"CO_JO_816","JO",816,"T_JO_958","Privy_Council","Justiciary",1,"5_6_1662","06_05_62_00:00:00",,"husband_requested_trial_or_liberty,_PC_ordered_local_magistrates_to_report_on_process_to_them_by_12_6_1662_before_sentence","jhm","10_09_01_15:49:19","LEM","11_01_02_10:25:03"
"CO_JO_817","JO",817,"T_JO_959","Privy_Council","Justiciary",1,"12_6_1662","06_12_62_00:00:00",,"commission_to_try_but_confession_to_be_voluntary_and_accused_to_be_of_legal_age_and_mentally_fit_before_death_sentence_can_be_passed","jhm","10_09_01_16:08:58","jhm","10_18_02_12:43:20"
"CO_JO_818","JO",818,"T_JO_960","Privy_Council","Justiciary",1,"12_6_1662","06_12_62_00:00:00",,"PC_stressed_any_confessions_to_be_voluntary_and_the_accused_to_be_of_sound_mind_and_legal_age.","jhm","10_09_01_16:14:20","jhm","10_09_01_16:15:20"
"CO_JO_819","JO",819,"T_JO_961","Privy_Council","Justiciary",1,"12_6_1662","06_12_62_00:00:00",,"PC_stressed_no_torture_to_be_used_and_suspect_to_be_legally_and_mentally_competent","jhm","10_09_01_16:22:16","jhm","10_18_02_12:45:35"
"CO_JO_820","JO",820,"T_JO_962","Privy_Council","Justiciary",1,"12_6_1662","06_12_62_00:00:00",,"PC_stressed_no_torture_to_be_used,_and_accused_to_be_mentally_and_legally_competent","jhm","10_09_01_16:28:22","jhm","10_18_02_12:44:09"
"CO_JO_821","JO",821,"T_JO_963","Privy_Council","Justiciary",1,"12_6_1662","06_12_62_00:00:00",,,"jhm","10_10_01_09:33:47","jhm","10_10_01_09:33:56"
"CO_JO_822","JO",822,"T_JO_964","Privy_Council","Justiciary",1,"12_6_1662","06_12_62_00:00:00",,,"jhm","10_10_01_09:39:26","jhm","10_10_01_09:39:33"
"CO_JO_823","JO",823,"T_JO_965","Privy_Council","Justiciary",1,"12_6_1662","06_12_62_00:00:00",,,"jhm","10_10_01_09:58:21","jhm","10_10_01_09:59:10"
