ComplaintRef,ComplaintSystemId,ComplaintID,Trialref,Complaint,Complaint_type,Complaintdate,Complaintdate_as_date,Wherelodged,Accused_familyRef,PersonRef,Involvement,WitchPricker,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"CP_JO_1","JO",1,"T_JO_82",1,"Suspect's","1_6_1630","06_01_30_00:00:00","Privy_Council",,,,0,"jhm","06_08_01_14:27:51","jhm","06_08_01_14:28:16"
"CP_JO_22","JO",22,"T_JO_416",1,"Suspect's",,,"King",,,,0,"jhm","07_16_01_12:22:52","jhm","07_16_01_12:32:22"
"CP_JO_23","JO",23,"T_JO_417",1,"Suspect's","2_8_1661","08_02_61_00:00:00","Privy_Council",,,,0,"jhm","07_16_01_12:44:34","jhm","07_16_01_12:44:57"
"CP_JO_24","JO",24,"T_JO_417",1,"Suspect's","7_11_1661","11_07_61_00:00:00","Privy_Council",,,,0,"jhm","07_16_01_12:44:58","jhm","07_16_01_12:45:33"
"CP_JO_25","JO",25,"T_JO_420",1,"Suspect's","2_8_1661","08_02_61_00:00:00","Privy_Council",,,,0,"jhm","07_16_01_14:52:45","jhm","07_16_01_14:53:07"
"CP_JO_26","JO",26,"T_JO_420",1,"Suspect's","7_11_1661","11_07_61_00:00:00","Privy_Council",,,,0,"jhm","07_16_01_14:53:08","jhm","07_16_01_14:53:24"
"CP_JO_27","JO",27,"T_JO_422",1,"Suspect's","2_8_1661","08_02_61_00:00:00","Privy_Council",,,,0,"jhm","07_16_01_15:11:13","jhm","07_16_01_15:11:28"
"CP_JO_28","JO",28,"T_JO_422",1,"Suspect's","7_11_1661","11_07_61_00:00:00","Privy_Council",,,,0,"jhm","07_16_01_15:11:29","jhm","07_16_01_15:11:38"
"CP_JO_29","JO",29,"T_LA_320",1,"Family_member",,,,"AF_LA_100",,,0,"jhm","07_16_01_15:26:10","jhm","07_16_01_15:27:08"
"CP_JO_30","JO",30,"T_JO_514",1,"Suspect's","3_6_1629","06_03_29_00:00:00","Presbytery",,,,0,"jhm","07_24_01_09:25:33","jhm","07_24_01_09:25:54"
"CP_JO_31","JO",31,"T_JO_539",1,"Suspect's","20_8_1644","08_20_44_00:00:00","Privy_Council",,,,0,"jhm","07_26_01_15:06:58","jhm","07_26_01_15:07:23"
"CP_JO_32","JO",32,"T_JO_539",1,"Suspect's","8_4_1644","04_08_44_00:00:00","Privy_Council",,,,0,"jhm","07_27_01_09:11:25","jhm","07_27_01_09:11:55"
"CP_JO_33","JO",33,"T_JO_598",1,"Suspect's","9_1678","09_01_78_00:00:00","Privy_Council",,,,0,"jhm","08_16_01_11:51:13","jhm","08_16_01_11:51:57"
"CP_JO_50","JO",50,"T_JO_769",1,"Suspect's","15_6_1665","06_15_65_00:00:00","Privy_Council",,,,0,"jhm","08_31_01_12:46:25","jhm","08_31_01_12:46:42"
"CP_JO_51","JO",51,"T_JO_770",1,"Suspect's","11_1_1666","01_11_66_00:00:00","Privy_Council",,,,0,"jhm","08_31_01_13:11:28","jhm","08_31_01_13:11:45"
"CP_JO_52","JO",52,"T_JO_769",1,"Family_member","31_1_1667","01_31_67_00:00:00","Privy_Council",,,,0,"jhm","08_31_01_15:57:46","jhm","08_31_01_15:58:14"
"CP_JO_53","JO",53,"T_JO_830",1,"Suspect's","1661","06_01_61_00:00:00","Privy_Council",,,,0,"jhm","09_12_01_16:06:26","jhm","09_12_01_16:07:55"
"CP_JO_77","JO",77,"T_JO_81",1,"Suspect's",,,"Privy_Council",,,,0,"jhm","10_02_02_12:11:41","jhm","10_02_02_12:22:15"
"CP_JO_78","JO",78,"T_JO_78",1,"Suspect's",,,"Privy_Council",,,,0,"jhm","10_02_02_12:15:59","jhm","10_02_02_12:16:06"
"CP_JO_79","JO",79,"T_JO_79",1,"Suspect's",,,"Privy_Council",,,,0,"jhm","10_02_02_12:20:06","jhm","10_02_02_12:21:56"
"CP_JO_80","JO",80,"T_JO_80",1,"Suspect's",,,"Privy_Council",,,,0,"jhm","10_02_02_12:21:33","jhm","10_02_02_12:21:49"
"CP_JO_81","JO",81,"T_LA_1055",1,"Suspect's","1649","06_01_49_00:00:00","Privy_Council",,,,0,"jhm","10_03_02_15:49:24","jhm","10_03_02_15:49:47"
"CP_JO_82","JO",82,"T_JO_1018",1,"Suspect's","8_1662","08_01_62_00:00:00","Privy_Council",,,,0,"jhm","10_08_02_15:43:07","jhm","10_08_02_15:43:26"
"CP_JO_83","JO",83,"T_JO_1018",1,"Suspect's","8_1662","08_01_62_00:00:00","Privy_Council",,,,0,"jhm","10_08_02_15:43:32","jhm","10_08_02_15:43:53"
"CP_LA_10","LA",10,"T_LA_104",1,"Suspect's","27_2_1634","02_27_34_00:00:00","Privy_Council",,,,0,"LEM","06_15_01_12:12:11","LEM","06_15_01_12:12:38"
"CP_LA_11","LA",11,"T_LA_172",1,"Unknown",,,,,,,0,"LEM","06_20_01_15:21:18","LEM","06_20_01_15:21:19"
"CP_LA_12","LA",12,"T_LA_173",1,"Family_member","16_11_1598","11_16_98_00:00:00","Privy_Council","AF_LA_60",,,0,"LEM","06_20_01_15:55:23","LEM","06_20_01_15:58:21"
"CP_LA_13","LA",13,"T_LA_175",1,"Other","3_3_1598","03_03_98_00:00:00","Privy_Council",,"LA_190",,0,"LEM","06_20_01_16:28:58","LEM","06_25_01_10:30:11"
"CP_LA_14","LA",14,"T_LA_203",1,"Other","3_3_1598","03_03_98_00:00:00","Privy_Council",,"LA_190",,0,"LEM","06_25_01_10:34:40","LEM","06_25_01_10:35:00"
"CP_LA_15","LA",15,"T_LA_204",1,"Family_member","3_3_1598","03_03_98_00:00:00","Privy_Council","AF_LA_62",,,0,"LEM","06_25_01_10:40:12","LEM","06_25_01_10:41:37"
"CP_LA_16","LA",16,"T_LA_205",1,"Family_member","3_3_1598","03_03_98_00:00:00","Privy_Council","AF_LA_63",,,0,"LEM","06_25_01_10:43:50","LEM","06_25_01_10:45:48"
