DemonicRef,DemonicSystemId,DemonicID,CaseRef,Demonic_Type,Demonic_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DP_JO_101","JO",101,"C_EGD_1036","Paction",,"jhm","07_02_01_12:51:42","jhm","07_02_01_13:28:52"
"DP_JO_102","JO",102,"C_EGD_1035","Paction",,"jhm","07_02_01_13:00:34","jhm","07_02_01_13:28:45"
"DP_JO_103","JO",103,"C_EGD_1037","Paction",,"jhm","07_02_01_13:15:30","jhm","07_02_01_13:28:05"
"DP_JO_104","JO",104,"C_JO_2785","Paction",,"jhm","07_02_01_13:33:52","jhm","07_02_01_13:33:53"
"DP_JO_105","JO",105,"C_JO_2786","Paction",,"jhm","07_02_01_14:56:21","jhm","07_02_01_14:56:22"
"DP_JO_106","JO",106,"C_EGD_1047","Paction",,"jhm","07_02_01_15:09:37","jhm","07_02_01_15:09:38"
"DP_JO_107","JO",107,"C_EGD_1049","Paction",,"jhm","07_02_01_15:28:35","jhm","07_02_01_15:28:36"
"DP_JO_108","JO",108,"C_EGD_1030","Paction",,"jhm","07_02_01_15:58:08","jhm","07_02_01_15:58:09"
"DP_JO_109","JO",109,"C_EGD_1048","Paction",,"jhm","07_02_01_16:05:58","jhm","07_02_01_16:06:00"
"DP_JO_110","JO",110,"C_EGD_1031","Paction",,"jhm","07_02_01_16:18:04","jhm","07_02_01_16:18:05"
"DP_JO_111","JO",111,"C_EGD_1032","Paction",,"jhm","07_02_01_16:27:15","jhm","07_02_01_16:27:16"
"DP_JO_112","JO",112,"C_EGD_1033","Paction",,"jhm","07_03_01_09:26:43","jhm","07_03_01_09:26:44"
"DP_JO_113","JO",113,"C_EGD_1034","Paction",,"jhm","07_03_01_09:38:50","jhm","07_03_01_09:38:52"
"DP_JO_114","JO",114,"C_JO_2786","Anti-baptism",,"jhm","07_03_01_10:50:49","jhm","07_03_01_10:50:54"
"DP_JO_115","JO",115,"C_JO_2785","Anti-baptism",,"jhm","07_03_01_10:59:58","jhm","07_03_01_11:00:00"
"DP_JO_154","JO",154,"C_JO_2798","Bond_Band",,"jhm","07_05_01_10:44:46","jhm","07_05_01_10:44:49"
"DP_JO_155","JO",155,"C_JO_2798","Devil's_Mark",,"jhm","07_05_01_10:45:23","jhm","07_05_01_10:45:25"
"DP_JO_156","JO",156,"C_JO_2798","New_name",,"jhm","07_05_01_10:45:26","jhm","07_05_01_10:45:28"
"DP_JO_157","JO",157,"C_JO_2799","Bond_Band",,"jhm","07_05_01_11:40:15","jhm","07_05_01_11:40:17"
"DP_JO_158","JO",158,"C_JO_2799","Devil's_Mark",,"jhm","07_05_01_11:40:18","jhm","07_05_01_11:40:20"
"DP_JO_159","JO",159,"C_JO_2799","New_name",,"jhm","07_05_01_11:40:25","jhm","07_05_01_11:40:27"
"DP_JO_160","JO",160,"C_JO_2810","Devil's_Mark",,"jhm","07_09_01_10:49:07","jhm","07_09_01_10:49:09"
"DP_JO_161","JO",161,"C_JO_2830","Anti-baptism",,"jhm","07_10_01_10:04:55","jhm","07_10_01_10:04:55"
"DP_JO_162","JO",162,"C_JO_2830","Servant",,"jhm","07_10_01_10:05:07","jhm","07_10_01_10:05:10"
"DP_JO_163","JO",163,"C_JO_2830","Head_and_foot",,"jhm","07_10_01_10:05:15","jhm","07_10_01_10:05:18"
"DP_JO_164","JO",164,"C_LA_2786","Servant","later_denied","jhm","07_10_01_10:34:08","jhm","07_11_01_10:21:05"
"DP_JO_165","JO",165,"C_LA_2786","Head_and_foot",,"jhm","07_10_01_10:34:13","jhm","07_10_01_10:34:15"
"DP_JO_166","JO",166,"C_LA_2786","Body_and_soul",,"jhm","07_10_01_10:34:16","jhm","07_10_01_10:34:30"
"DP_JO_171","JO",171,"C_LA_2786","Devil's_Mark",,"jhm","07_10_01_11:02:51","jhm","07_10_01_11:02:54"
"DP_JO_173","JO",173,"C_EGD_402","Devil's_Mark",,"jhm","07_10_01_11:05:20","jhm","07_10_01_11:05:20"
"DP_JO_174","JO",174,"C_EGD_402","Head_and_foot",,"jhm","07_10_01_11:06:51","jhm","07_10_01_11:06:52"
"DP_JO_175","JO",175,"C_EGD_402","Anti-baptism","later_denied_this","jhm","07_10_01_11:07:05","jhm","07_11_01_10:07:00"
"DP_JO_176","JO",176,"C_LA_2785","Anti-baptism",,"jhm","07_10_01_12:04:51","jhm","07_10_01_12:04:52"
"DP_JO_177","JO",177,"C_LA_2785","Servant",,"jhm","07_10_01_12:04:55","jhm","07_10_01_12:04:56"
"DP_JO_178","JO",178,"C_LA_2785","Devil's_Mark",,"jhm","07_10_01_12:05:29","jhm","07_10_01_12:05:31"
"DP_JO_179","JO",179,"C_LA_2785","Head_and_foot",,"jhm","07_10_01_12:05:34","jhm","07_10_01_12:05:35"
"DP_JO_180","JO",180,"C_EGD_395","Anti-baptism",,"jhm","07_10_01_12:42:56","jhm","07_10_01_12:42:57"
"DP_JO_181","JO",181,"C_EGD_395","Body_and_soul",,"jhm","07_10_01_12:43:01","jhm","07_10_01_12:43:02"
"DP_JO_182","JO",182,"C_EGD_395","Servant",,"jhm","07_10_01_12:43:04","jhm","07_10_01_12:43:05"
"DP_JO_183","JO",183,"C_EGD_395","Devil's_Mark",,"jhm","07_10_01_12:43:09","jhm","07_10_01_12:43:11"
"DP_JO_184","JO",184,"C_EGD_395","Sex","lay_with_her","jhm","07_10_01_12:43:18","jhm","07_11_01_09:49:53"
"DP_JO_185","JO",185,"C_EGD_397","Anti-baptism",,"jhm","07_10_01_13:00:06","jhm","07_10_01_13:00:06"
"DP_JO_186","JO",186,"C_EGD_397","Servant",,"jhm","07_10_01_13:00:10","jhm","07_10_01_13:00:12"
"DP_JO_187","JO",187,"C_EGD_397","Body_and_soul",,"jhm","07_10_01_13:00:14","jhm","07_10_01_13:00:14"
"DP_JO_188","JO",188,"C_EGD_397","Head_and_foot",,"jhm","07_10_01_13:00:16","jhm","07_10_01_13:00:17"
"DP_JO_189","JO",189,"C_EGD_397","Devil's_Mark",,"jhm","07_10_01_13:00:24","jhm","07_10_01_13:00:25"
"DP_JO_190","JO",190,"C_EGD_396","Paction",,"jhm","07_10_01_15:32:17","jhm","07_10_01_15:32:18"
"DP_JO_191","JO",191,"C_EGD_396","Servant",,"jhm","07_10_01_15:32:20","jhm","07_10_01_15:32:20"
"DP_JO_192","JO",192,"C_EGD_396","Anti-baptism",,"jhm","07_10_01_15:32:30","jhm","07_10_01_15:32:30"
"DP_JO_193","JO",193,"C_EGD_396","Sex",,"jhm","07_10_01_15:32:46","jhm","07_10_01_15:32:51"
"DP_JO_194","JO",194,"C_EGD_1954","Servant",,"jhm","07_10_01_15:37:07","jhm","07_10_01_15:39:46"
"DP_JO_195","JO",195,"C_EGD_1954","Devil's_Mark",,"jhm","07_10_01_15:39:47","jhm","07_10_01_15:39:48"
"DP_JO_196","JO",196,"C_EGD_1954","Sex",,"jhm","07_10_01_15:42:13","jhm","07_10_01_15:42:17"
"DP_JO_199","JO",199,"C_EGD_401","Body_and_soul",,"jhm","07_10_01_16:09:15","jhm","07_10_01_16:09:16"
"DP_JO_200","JO",200,"C_EGD_395","Head_and_foot",,"jhm","07_11_01_09:49:54","jhm","07_11_01_09:50:01"
"DP_JO_201","JO",201,"C_JO_2832","Servant",,"jhm","07_11_01_10:58:40","jhm","07_11_01_10:58:42"
"DP_JO_202","JO",202,"C_JO_2832","Anti-baptism",,"jhm","07_11_01_10:58:43","jhm","07_11_01_10:58:44"
"DP_JO_203","JO",203,"C_JO_2832","Head_and_foot",,"jhm","07_11_01_10:58:49","jhm","07_11_01_10:58:50"
"DP_JO_204","JO",204,"C_JO_2832","Sex",,"jhm","07_11_01_10:58:52","jhm","07_11_01_10:58:53"
"DP_JO_21","JO",21,"C_EGD_2121","tacit_pact","servant_mentioned_by_prosecution","jhm","06_05_01_14:51:30","jhm","06_05_01_14:53:28"
"DP_JO_228","JO",228,"C_EGD_400","Devil's_Mark","shoulder","jhm","07_16_01_09:18:16","jhm","07_16_01_09:23:36"
"DP_JO_229","JO",229,"C_EGD_408","Anti-baptism",,"jhm","07_16_01_15:52:12","jhm","07_16_01_15:52:14"
"DP_JO_27","JO",27,"C_EGD_1324","Servant",,"jhm","06_13_01_12:37:08","jhm","06_13_01_12:37:29"
"DP_JO_272","JO",272,"C_JO_2834","Anti-baptism",,"jhm","07_25_01_11:23:38","jhm","07_25_01_11:23:38"
"DP_JO_273","JO",273,"C_JO_2834","Sex",,"jhm","07_25_01_11:23:42","jhm","07_25_01_11:23:50"
"DP_JO_274","JO",274,"C_JO_2834","Paction",,"jhm","07_25_01_11:24:19","jhm","07_25_01_11:24:21"
"DP_JO_275","JO",275,"C_EGD_1817","Paction",,"jhm","07_31_01_13:31:19","jhm","07_31_01_13:31:22"
"DP_JO_276","JO",276,"C_EGD_1817","Anti-baptism",,"jhm","07_31_01_13:34:08","jhm","07_31_01_13:34:10"
"DP_JO_277","JO",277,"C_EGD_1817","Body_and_soul",,"jhm","07_31_01_13:34:32","jhm","07_31_01_13:34:33"
"DP_JO_278","JO",278,"C_EGD_1817","Head_and_foot",,"jhm","07_31_01_13:34:49","jhm","07_31_01_13:34:50"
"DP_JO_279","JO",279,"C_EGD_1817","Devil's_Mark","on_neck","jhm","07_31_01_13:35:08","jhm","07_31_01_13:35:18"
"DP_JO_28","JO",28,"C_EGD_1324","Devil's_Mark","nip_on_left_shoulder","jhm","06_13_01_12:37:54","jhm","06_13_01_12:38:42"
