DenuncRef,DenuncSystemId,DenuncID,Trialref,Denunc_exists,Denuncdate,Denuncdate_as_date,Denunc_text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DN_JO_1","JO",1,"T_JO_2",1,"19_4_1643","04_19_43_00:00:00","witness_statements_heard_by_presbytery","jhm","05_17_01_12:10:39","jhm","05_17_01_12:11:17"
"DN_JO_16","JO",16,"T_JO_869",1,"22_7_1691","07_22_91_00:00:00","first_report_to_presbytery_about_her_prophecies","jhm","09_25_01_10:13:39","jhm","09_25_01_10:14:14"
"DN_JO_17","JO",17,"T_JO_870",1,"9_1_1706","01_09_06_00:00:00","slander_and_counter_slander_between_parties","jhm","09_25_01_12:16:47","jhm","09_25_01_12:17:45"
"DN_JO_6","JO",6,"T_JO_94",1,"8_6_1649","06_08_49_00:00:00","denounced_by_Margaret_Dickson","jhm","06_13_01_12:31:51","jhm","06_13_01_12:32:37"
"DN_JO_63","JO",63,"T_JO_1663",1,"23_6_1661","06_23_61_00:00:00","accusations_heard_by_KS","jhm","07_24_02_10:53:59","jhm","07_24_02_10:54:17"
"DN_JO_68","JO",68,"T_JO_89",1,"4_14_1629","04_14_29_00:00:00","by_Alexander_Hamilton","jhm","10_02_02_12:08:47","jhm","10_02_02_12:09:11"
"DN_JO_69","JO",69,"T_JO_523",1,"27_3_1644","03_27_44_00:00:00","named_by_Ephraim_Melvill.","jhm","10_25_02_17:49:52","jhm","10_25_02_17:50:10"
"DN_JO_7","JO",7,"T_JO_95",1,"8_6_1649","06_08_49_00:00:00","denounced_by_Agnes_Hunter","jhm","06_13_01_13:11:43","jhm","06_13_01_13:12:04"
"DN_JO_8","JO",8,"T_JO_108",1,"8_6_1649","06_08_49_00:00:00","named_by_Issobell_Murray","jhm","06_15_01_09:38:33","jhm","06_15_01_09:38:48"
"DN_LA_1","LA",1,"T_LA_1",1,"22_April_1624","04_22_24_00:00:00","Depositions_taken_at_Dunbar_Presbytery","LEM","05_17_01_10:11:20","LEM","05_17_01_10:12:02"
"DN_LA_10","LA",10,"T_LA_207",1,"6_7_1609","07_06_09_00:00:00","Presbytery_of_Dalkieth","LEM","06_25_01_14:32:14","LEM","06_25_01_14:32:30"
