DevilRef,DevilSystemId,DevilID,CaseRef,Devil_Type,Devil_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DVA_JO_107","JO",107,"C_JO_2846","Male","fearful_shape","jhm","07_24_01_10:25:30","LEM","11_01_02_14:29:50"
"DVA_JO_108","JO",108,"C_EGD_1817","Male","in_green_clothing","jhm","07_31_01_13:33:23","jhm","10_22_02_12:54:21"
"DVA_JO_109","JO",109,"C_EGD_1862","Male","large,_black_man","jhm","07_31_01_14:43:45","LEM","10_10_02_11:30:37"
"DVA_JO_110","JO",110,"C_EGD_2005","Male","in_green_with_black_hat","jhm","07_31_01_14:59:28","jhm","10_23_02_13:40:54"
"DVA_JO_111","JO",111,"C_EGD_2005","Male","young_man_in_green","jhm","07_31_01_14:59:53","jhm","10_23_02_13:40:53"
"DVA_JO_112","JO",112,"C_EGD_1859","Male","little_man,_in_blue,_blue_hat,_black_staff","jhm","07_31_01_15:24:44","jhm","10_22_02_14:38:02"
"DVA_JO_113","JO",113,"C_EGD_1758","Male","grim_black_man","jhm","08_17_01_12:21:52","jhm","10_22_02_09:50:47"
"DVA_JO_114","JO",114,"C_JO_2882","Male","black_clothing","jhm","09_07_01_12:14:18","LEM","11_01_02_10:48:16"
"DVA_JO_116","JO",116,"C_JO_2883","Female_Fairy","green_clothes_kirtall","jhm","09_07_01_12:55:32","jhm","09_07_01_12:55:57"
"DVA_JO_117","JO",117,"C_JO_2883","Male","black_man_in_black_clothes","jhm","09_07_01_12:55:59","LEM","11_01_02_10:44:13"
"DVA_JO_118","JO",118,"C_JO_2883","Male_Fairy","green_clothes_grey_hat","jhm","09_07_01_12:56:39","jhm","09_07_01_12:57:40"
"DVA_JO_119","JO",119,"C_JO_2882","Female_Fairy",,"jhm","09_07_01_13:14:52","jhm","09_07_01_13:14:53"
"DVA_JO_120","JO",120,"C_JO_2882","Male_Fairy",,"jhm","09_07_01_13:14:56","jhm","09_07_01_13:15:07"
"DVA_JO_155","JO",155,"C_EGD_1367","Male","in_brown_clothes","jhm","10_19_01_10:32:30","jhm","10_03_02_16:16:38"
"DVA_JO_156","JO",156,"C_EGD_1368","Male","black_clothes","jhm","10_19_01_10:54:40","jhm","10_03_02_16:18:37"
"DVA_JO_157","JO",157,"C_EGD_1375","Animal_Devil","dog","jhm","10_19_01_12:04:43","jhm","10_19_01_12:04:54"
"DVA_JO_158","JO",158,"C_EGD_1375","Male",,"jhm","10_19_01_12:04:55","jhm","09_30_02_16:54:16"
"DVA_JO_159","JO",159,"C_EGD_1372","Male","in_black_clothes","jhm","10_19_01_12:20:09","jhm","10_03_02_16:30:44"
"DVA_JO_160","JO",160,"C_EGD_1373","Male","black_man_in_green","jhm","10_19_01_12:38:23","jhm","10_01_02_09:53:36"
"DVA_JO_161","JO",161,"C_JO_2905","Male","gentleman","jhm","10_19_01_12:59:24","jhm","10_01_02_09:53:29"
"DVA_JO_162","JO",162,"C_EGD_1374","Male","in_black_clothes","jhm","10_19_01_13:08:00","jhm","10_01_02_09:53:08"
"DVA_JO_163","JO",163,"C_EGD_1374","Animal_Devil","dog","jhm","10_19_01_13:08:13","jhm","10_19_01_13:08:32"
"DVA_JO_21","JO",21,"C_EGD_2121","Male","a_little_cuttie_fellow_with_a_staff","jhm","06_05_01_14:47:14","jhm","10_24_02_09:40:21"
"DVA_JO_22","JO",22,"C_EGD_2121","Animal_Devil","magpie","jhm","06_05_01_14:50:03","jhm","06_05_01_14:50:46"
"DVA_JO_229","JO",229,"C_EGD_2453","Spirit","non-visible_spirits","jhm","10_23_01_10:49:37","jhm","10_23_01_10:50:03"
"DVA_JO_23","JO",23,"C_EGD_2121","Animal_Devil","jackdaw","jhm","06_05_01_14:50:47","jhm","06_05_01_14:51:21"
"DVA_JO_236","JO",236,"C_EGD_1818","Male",,"jhm","11_27_01_13:40:42","jhm","10_22_02_13:02:41"
"DVA_JO_237","JO",237,"C_EGD_1818","Animal_Devil","young_dog","jhm","11_27_01_13:40:46","jhm","11_27_01_13:45:34"
"DVA_JO_238","JO",238,"C_EGD_1818","Animal_Devil","young_brown_dog","jhm","11_27_01_13:45:36","jhm","11_27_01_13:45:49"
"DVA_JO_24","JO",24,"C_EGD_1324","Animal_Devil","black_dog","jhm","06_13_01_12:37:32","jhm","06_13_01_12:37:50"
"DVA_JO_249","JO",249,"C_EGD_2387","Male",,"jhm","02_07_02_10:24:57","jhm","10_29_02_10:06:26"
"DVA_JO_25","JO",25,"C_EGD_1323","Male","man_wearing_green_clothes","jhm","06_13_01_13:15:21","jhm","10_03_02_14:38:15"
"DVA_JO_250","JO",250,"C_EGD_1856","Animal_Devil","round_headed_cat","jhm","02_07_02_11:19:18","jhm","02_07_02_11:26:37"
"DVA_JO_251","JO",251,"C_EGD_1856","Animal_Devil","black_dog","jhm","02_07_02_11:19:22","jhm","02_07_02_11:19:31"
"DVA_JO_252","JO",252,"C_EGD_1856","Male","cold_man","jhm","02_07_02_11:21:18","jhm","10_22_02_14:32:27"
"DVA_JO_253","JO",253,"C_JO_2959","Male",,"jhm","02_07_02_15:16:53","LEM","10_31_02_16:16:02"
"DVA_JO_254","JO",254,"C_EGD_1848","Male",,"jhm","02_07_02_16:01:56","jhm","10_22_02_14:16:23"
"DVA_JO_255","JO",255,"C_EGD_1855","Animal_Devil","cat","jhm","02_14_02_10:45:04","jhm","02_14_02_10:45:10"
"DVA_JO_256","JO",256,"C_EGD_1855","Animal_Devil","dog","jhm","02_14_02_10:45:11","jhm","02_14_02_10:45:15"
"DVA_JO_31","JO",31,"C_EGD_604","Male","leper","jhm","06_27_01_12:11:38","LEM","11_07_02_12:56:24"
"DVA_JO_312","JO",312,"C_EGD_2153","Animal_Devil","Beast","jhm","03_07_02_16:22:30","jhm","03_07_02_16:22:44"
"DVA_JO_313","JO",313,"C_EGD_2172","Female_Fairy","Quene_of_Elphen","jhm","05_08_02_16:44:26","jhm","05_08_02_16:44:48"
"DVA_JO_314","JO",314,"C_EGD_2172","Spirit","Christonday_Angel","jhm","05_08_02_16:44:54","jhm","05_09_02_12:23:10"
"DVA_JO_315","JO",315,"C_EGD_2172","Ghost","Thomas_Rhymer_James_IV","jhm","05_08_02_16:47:07","jhm","05_08_02_16:47:26"
"DVA_JO_316","JO",316,"C_EGD_2172","Animal_Devil","Stag_deer","jhm","05_08_02_16:50:35","jhm","05_08_02_16:50:51"
"DVA_JO_317","JO",317,"C_EGD_2172","Other_Demon","Black_beast","jhm","05_09_02_12:23:16","jhm","05_09_02_12:25:34"
"DVA_JO_319","JO",319,"C_EGD_2159","Male","Old_beared_man_in_white","jhm","05_09_02_13:03:46","jhm","10_24_02_11:26:01"
"DVA_JO_320","JO",320,"C_EGD_2159","Male","no_details","jhm","05_09_02_13:04:35","jhm","10_24_02_11:26:01"
"DVA_JO_321","JO",321,"C_EGD_2160","Animal_Devil","as_a_lamb","jhm","05_09_02_16:54:18","jhm","05_09_02_16:54:33"
"DVA_JO_322","JO",322,"C_EGD_2160","Animal_Devil","as_a_calf","jhm","05_09_02_16:55:02","jhm","05_09_02_16:55:30"
"DVA_JO_323","JO",323,"C_EGD_2162","Animal_Devil","as_beast","jhm","06_03_02_15:27:27","jhm","06_03_02_15:27:47"
"DVA_JO_324","JO",324,"C_JO_3033","Animal_Devil","grey_stag","jhm","06_10_02_17:31:52","jhm","06_10_02_17:32:56"
"DVA_JO_325","JO",325,"C_JO_3033","Animal_Devil","bird","jhm","06_10_02_17:32:07","jhm","06_10_02_17:32:23"
"DVA_JO_326","JO",326,"C_JO_3033","Animal_Devil","horse","jhm","06_10_02_17:36:59","jhm","06_10_02_17:37:13"
"DVA_JO_327","JO",327,"C_EGD_2130","Male","little_cripple_man","jhm","06_10_02_18:11:05","jhm","10_24_02_10:15:44"
"DVA_JO_328","JO",328,"C_EGD_2141","Male",,"jhm","06_10_02_21:45:23","jhm","10_24_02_10:30:16"
"DVA_JO_329","JO",329,"C_EGD_2141","Animal_Devil","unspecified_beast","jhm","06_10_02_21:45:33","jhm","06_10_02_21:45:47"
"DVA_JO_330","JO",330,"C_EGD_2141","Animal_Devil","black_stag","jhm","06_10_02_21:46:01","jhm","06_10_02_21:46:04"
"DVA_JO_331","JO",331,"C_EGD_2141","Male","in_silk_clothing_white_candle_in_hand","jhm","06_10_02_21:46:11","jhm","10_24_02_10:30:14"
"DVA_JO_332","JO",332,"C_EGD_2141","Male","black_man","jhm","06_10_02_21:46:37","jhm","10_24_02_10:30:13"
"DVA_JO_333","JO",333,"C_EGD_2141","Female","dressed_in_white_wylicoat","jhm","06_10_02_21:48:49","jhm","10_24_02_10:30:12"
"DVA_JO_334","JO",334,"C_JO_3046","Male","man","jhm","06_17_02_16:04:03","LEM","10_31_02_12:58:16"
"DVA_JO_335","JO",335,"C_JO_3046",,,"jhm","06_19_02_15:41:48","jhm","06_19_02_15:41:51"
"DVA_JO_336","JO",336,"C_EGD_2327","Animal_Devil","crows","jhm","06_19_02_16:02:33","jhm","06_19_02_16:02:48"
"DVA_JO_342","JO",342,"C_JO_3059","Spirit","as_angel","jhm","06_27_02_14:32:02","jhm","06_27_02_14:32:18"
"DVA_JO_343","JO",343,"C_JO_3059","Male","as_Thomas_Murray","jhm","06_27_02_14:34:48","LEM","10_31_02_12:45:27"
"DVA_JO_344","JO",344,"C_JO_3068","Male","man_in_green_clothes","jhm","07_02_02_09:21:16","LEM","11_11_02_11:25:34"
"DVA_JO_345","JO",345,"C_EGD_297","Male","in_brown_clothes_and_black_hat","jhm","07_03_02_16:22:54","jhm","11_04_02_09:36:31"
"DVA_JO_346","JO",346,"C_EGD_294","Male",,"jhm","07_04_02_11:27:32","jhm","10_31_02_12:38:57"
"DVA_JO_347","JO",347,"C_EGD_294","Female","wearing_green_waistcoat_with_grey_tails","jhm","07_04_02_11:53:18","jhm","10_31_02_12:38:53"
"DVA_JO_348","JO",348,"C_EGD_291","Male","in_grey_clothes_and_blue_hat","jhm","07_04_02_14:00:03","jhm","10_31_02_12:14:02"
"DVA_JO_349","JO",349,"C_EGD_291","Fairy","in_green_waistcoat_and_grey_gown","jhm","07_04_02_14:00:13","jhm","10_31_02_12:14:01"
"DVA_JO_350","JO",350,"C_EGD_291","Female","in_white_gown","jhm","07_04_02_14:00:39","jhm","10_31_02_12:13:59"
"DVA_JO_351","JO",351,"C_EGD_294","Animal_Devil","feltered_beast","jhm","07_04_02_14:21:26","jhm","07_04_02_14:22:32"
"DVA_JO_352","JO",352,"C_EGD_293","Female","woman_with_black_pot","jhm","07_04_02_15:17:00","jhm","10_31_02_12:31:12"
