ElfFairyRef,ElfFairySystemId,ElfFairyID,CaseRef,ElfFairy_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"EFT_JO_1","JO",1,"C_JO_2632","Changeling","jhm","05_17_01_12:06:22","jhm","11_13_02_15:52:43"
"EFT_JO_100","JO",100,"C_EGD_2312","Sunrise","jhm","06_19_02_13:52:05","jhm","06_19_02_13:52:08"
"EFT_JO_101","JO",101,"C_JO_3044","Elfshot","jhm","06_19_02_14:16:21","jhm","06_19_02_14:16:22"
"EFT_JO_103","JO",103,"C_JO_3059","Group_of_fairies","jhm","06_27_02_14:30:09","jhm","06_27_02_14:30:13"
"EFT_JO_104","JO",104,"C_JO_3059","Changeling","jhm","06_27_02_14:30:15","jhm","06_27_02_14:30:18"
"EFT_JO_105","JO",105,"C_JO_3068","Green","jhm","07_02_02_09:23:20","jhm","07_02_02_09:23:21"
"EFT_JO_106","JO",106,"C_EGD_1045","Group_of_fairies","jhm","07_03_02_14:20:43","jhm","07_03_02_14:20:47"
"EFT_JO_107","JO",107,"C_EGD_1045","Changeling","jhm","07_03_02_14:20:48","jhm","07_03_02_14:20:49"
"EFT_JO_108","JO",108,"C_EGD_1045","Iron","jhm","07_03_02_14:20:53","jhm","07_03_02_14:20:57"
"EFT_JO_109","JO",109,"C_EGD_2262","Thorn_Tree","jhm","07_03_02_14:58:22","jhm","07_03_02_14:58:28"
"EFT_JO_110","JO",110,"C_EGD_297","Midnight","jhm","07_04_02_11:00:09","jhm","07_04_02_11:00:17"
"EFT_JO_111","JO",111,"C_EGD_294","Midnight","jhm","07_04_02_11:53:07","jhm","07_04_02_11:53:10"
"EFT_JO_112","JO",112,"C_EGD_294","Green","jhm","07_04_02_11:53:11","jhm","07_04_02_11:53:16"
"EFT_JO_113","JO",113,"C_EGD_291","Green","jhm","07_04_02_14:03:06","jhm","07_04_02_14:03:08"
"EFT_JO_114","JO",114,"C_EGD_1813","Meeting_at_12:00","jhm","07_11_02_12:49:26","jhm","07_11_02_12:49:28"
"EFT_JO_115","JO",115,"C_EGD_1854","Group_of_fairies","jhm","07_22_02_12:51:02","jhm","07_22_02_12:51:07"
