ImprisonRef,ImprisonSystemId,ImprisonID,Trialref,CentralTrialImprison,Imprisondate,Imprisondate_as_date,Prison,Location,Moving,Fate_in_prison,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"IM_JO_10","JO",10,"T_JO_78",0,,,"Tolbooth","Haddington",0,,"jhm","06_07_01_16:20:29","LEM","10_28_02_12:45:55"
"IM_JO_11","JO",11,"T_JO_79",0,,,"Tolbooth","Haddington",0,,"jhm","06_08_01_09:24:01","LEM","10_28_02_12:46:18"
"IM_JO_12","JO",12,"T_JO_80",0,,,"Tolbooth","Haddington",0,,"jhm","06_08_01_09:41:37","LEM","10_28_02_12:46:29"
"IM_JO_127","JO",127,"T_JO_416",1,,,"Tolbooth","Canongate",0,"Released","jhm","07_16_01_12:22:16","jhm","07_16_01_12:22:42"
"IM_JO_128","JO",128,"T_JO_417",0,,,"Tolbooth","Stirling",0,,"jhm","07_16_01_12:44:06","LEM","10_28_02_12:58:03"
"IM_JO_129","JO",129,"T_JO_420",0,"3_1659","03_01_59_00:00:00","Tolbooth","Stirling",0,,"jhm","07_16_01_14:53:27","jhm","07_16_01_14:53:43"
"IM_JO_13","JO",13,"T_JO_81",0,"1630","06_01_30_00:00:00","Tolbooth","Haddington",0,,"jhm","06_08_01_09:59:16","jhm","06_08_01_09:59:30"
"IM_JO_130","JO",130,"T_JO_422",0,"3_1659","03_01_59_00:00:00","Tolbooth","Stirling",0,,"jhm","07_16_01_15:12:37","jhm","07_16_01_15:12:53"
"IM_JO_131","JO",131,"T_JO_433",0,,,,"Dalkeith",0,,"jhm","07_17_01_15:52:15","jhm","10_18_02_10:32:40"
"IM_JO_14","JO",14,"T_JO_82",0,,,"Tolbooth","Haddington",0,"Released","jhm","06_08_01_14:24:19","LEM","10_28_02_12:46:45"
"IM_JO_141","JO",141,"T_LA_234",0,"9_8_1615","08_09_15_00:00:00","Tolbooth","Linlithgow",0,,"jhm","07_23_01_13:08:25","jhm","07_23_01_13:16:52"
"IM_JO_142","JO",142,"T_JO_511",0,,,,,0,,"jhm","07_23_01_13:32:32","jhm","10_11_02_16:52:05"
"IM_JO_143","JO",143,"T_LA_240",0,"26_3_1617","03_26_17_00:00:00",,,0,,"jhm","07_23_01_15:05:52","jhm","07_23_01_15:06:25"
"IM_JO_144","JO",144,"T_LA_239",0,"3_1617","03_01_17_00:00:00",,,0,,"jhm","07_23_01_15:10:13","jhm","07_23_01_15:10:20"
