MaliceRef,MaliceSystemId,MaliceID,CaseRef,Causeofmalice,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MA_JO_1","JO",1,"C_EGD_2120","Failed_business_interaction","jhm","05_16_01_17:01:25","jhm","05_16_01_17:05:02"
"MA_JO_100","JO",100,"C_EGD_2367","Debt","jhm","07_11_02_10:25:23","jhm","07_11_02_10:25:25"
"MA_JO_101","JO",101,"C_EGD_2367","Jealousy_of_Neighbours","jhm","07_11_02_10:25:40","jhm","07_11_02_10:25:45"
"MA_JO_102","JO",102,"C_EGD_2374","Failed_business_interaction","jhm","07_11_02_15:11:04","jhm","07_11_02_15:11:06"
"MA_JO_103","JO",103,"C_EGD_2374","Debt","jhm","07_11_02_15:11:07","jhm","07_11_02_15:11:08"
"MA_JO_104","JO",104,"C_EGD_2374","Revenge","jhm","07_11_02_15:11:12","jhm","07_11_02_15:11:15"
"MA_JO_105","JO",105,"C_JO_3108","Revenge","jhm","07_18_02_09:38:06","jhm","07_18_02_09:38:09"
"MA_JO_106","JO",106,"C_EGD_381","Grudge","jhm","07_24_02_10:40:42","jhm","07_24_02_10:40:44"
"MA_JO_107","JO",107,"C_JO_3161","Slander","jhm","08_01_02_15:56:55","jhm","08_01_02_15:59:48"
"MA_JO_109","JO",109,"C_JO_3246","Revenge","jhm","08_27_02_11:38:39","jhm","08_27_02_11:38:48"
"MA_JO_110","JO",110,"C_EGD_1527","Social_slight","jhm","08_28_02_10:35:56","jhm","08_28_02_10:35:57"
"MA_JO_111","JO",111,"C_EGD_1364","Revenge","jhm","10_03_02_16:06:43","jhm","10_03_02_16:06:49"
"MA_JO_112","JO",112,"C_EGD_1778","Revenge","jhm","10_22_02_10:36:41","jhm","10_22_02_10:36:43"
"MA_JO_113","JO",113,"C_EGD_1848","Revenge","jhm","10_22_02_14:17:29","jhm","10_22_02_14:17:29"
"MA_JO_114","JO",114,"C_EGD_1856","Revenge","jhm","10_22_02_14:33:42","jhm","10_22_02_14:33:45"
