MentionRef,MentionSystemId,MentionID,Trialref,Mentiondate,Mentiondate_as_date,Mentiontype,TrialOfAccusedRef,TrialOfFirstName,TrialOfLastName,MentionedInTrialOfRef,dateOfMentionedTrial,dateOfMentionedTrial_as_date,FateOfMentionedWitch,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MW_JO_1","JO",1,"T_JO_4","23_2_1597","02_23_97_00:00:00","Accomplice","A_EGD_2068","Thomas","Leyis","T_JO_3","17_2_1597","02_17_97_00:00:00","Burnt",,"jhm","05_17_01_16:31:34","LEM","09_09_02_15:07:04"
"MW_JO_1000","JO",1000,"T_LA_1703","21_8_1629","08_21_29_00:00:00","Denounced","A_EGD_1114","Beigs","Wallace","T_LA_158",,,,,"jhm","10_02_02_11:30:34","jhm","10_02_02_11:32:43"
"MW_JO_1001","JO",1001,"T_LA_153","16_7_1629","07_16_29_00:00:00","Denounced","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"jhm","10_02_02_11:55:11","jhm","10_02_02_11:56:08"
"MW_JO_1002","JO",1002,"T_LA_152","16_7_1629","07_16_29_00:00:00","Denounced","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"jhm","10_02_02_11:56:14","jhm","10_02_02_11:56:30"
"MW_JO_1003","JO",1003,"T_LA_151","16_7_1629","07_16_29_00:00:00","Denounced","A_EGD_663","Margaret","Loche","T_LA_645",,,,,"jhm","10_02_02_14:38:43","jhm","10_02_02_14:39:02"
"MW_JO_1004","JO",1004,"T_JO_2186","9_2_1630","02_09_30_00:00:00","Denounced","A_EGD_1175","Mawsie","Aslownae","T_LA_767",,,,,"jhm","10_02_02_15:43:36","jhm","10_02_02_15:44:44"
"MW_JO_1005","JO",1005,"T_JO_2187","9_2_1630","02_09_30_00:00:00","Denounced","A_EGD_1175","Mawsie","Aslownae","T_LA_767",,,,,"jhm","10_02_02_15:45:48","jhm","10_02_02_15:46:23"
"MW_JO_1006","JO",1006,"T_JO_2188","7_6_1649","06_07_49_00:00:00","Denounced","A_EGD_1300","Agnes","Clarkson","T_LA_1056",,,,,"jhm","10_03_02_14:50:03","jhm","10_03_02_14:50:36"
"MW_JO_1007","JO",1007,"T_LA_974","27_5_1608","05_27_08_00:00:00","Denounced","A_EGD_136","Beigis","Tod","T_LA_51",,,,,"jhm","10_08_02_12:50:31","jhm","10_08_02_12:51:33"
"MW_JO_1008","JO",1008,"T_JO_2191",,,"Denounced","A_JO_2908","Marjorie","Paplay","T_JO_1410",,,,,"jhm","10_10_02_10:37:11","jhm","10_10_02_10:38:02"
"MW_JO_1009","JO",1009,"T_JO_2192",,,"Denounced","A_JO_2909","Barbara","Bowndie","T_JO_1411",,,,,"jhm","10_10_02_10:38:48","jhm","10_10_02_10:40:15"
"MW_JO_1010","JO",1010,"T_LA_317","20_8_1661","08_20_61_00:00:00","Denounced","A_EGD_1583","Sarah","Ramage","T_JO_1654",,,,,"jhm","10_10_02_11:24:31","jhm","10_10_02_11:25:35"
"MW_JO_1011","JO",1011,"T_LA_13",,,"Denounced","A_EGD_148","Margaret","Melrois","T_LA_5",,,,"Melrois_named_Young_in_her_deposition.","jhm","10_18_02_15:06:01","jhm","10_18_02_15:06:30"
"MW_JO_1012","JO",1012,"T_LA_20","18_7_1629","07_18_29_00:00:00","Denounced","A_EGD_154","Elizabeth","Steven","T_LA_1272",,,,,"jhm","10_18_02_16:19:48","jhm","10_18_02_16:22:03"
"MW_JO_1013","JO",1013,"T_JO_2202","22_1_1630","01_22_30_00:00:00","Denounced","A_EGD_155","Alexander","Hammiltoun","T_LA_15",,,,,"jhm","10_21_02_15:32:07","jhm","10_21_02_15:33:02"
"MW_JO_1014","JO",1014,"T_JO_2203","18_12_1644","12_18_44_00:00:00","Witchcraft_Precedent","A_EGD_172","Agnes","Finnie","T_LA_40",,,,"Drummond_was_named_as_an_example_in_Finnie's_trial.","jhm","10_22_02_13:39:13","jhm","10_22_02_13:40:21"
"MW_JO_1015","JO",1015,"T_LA_13","18_12_1644","12_18_44_00:00:00","Witchcraft_Precedent","A_EGD_172","Agnes","Finnie","T_LA_40",,,,"Young_was_named_as_an_example_in_Finnie's_trial.","jhm","10_22_02_13:41:47","jhm","10_22_02_13:42:17"
