MusicalInstrumentRef,MusicalInstrumentSystemId,MusicalInstrumentID,CaseRef,MusicalInstrument_Type,MusicalInstrument_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MI_JO_1","JO",1,"C_EGD_2121","Unspecified",,"jhm","06_05_01_14:56:56","jhm","06_05_01_14:57:30"
"MI_JO_15","JO",15,"C_JO_2905","Pipe",,"jhm","10_19_01_13:01:07","jhm","10_19_01_13:01:09"
"MI_JO_2","JO",2,"C_JO_2830","Pipe",,"jhm","07_10_01_10:06:41","jhm","07_10_01_10:06:53"
"MI_JO_74","JO",74,"C_EGD_2153","Unspecified",,"jhm","03_07_02_16:22:10","jhm","03_07_02_16:22:17"
"MI_JO_75","JO",75,"C_EGD_2119","Unspecified","mouth_instrument","jhm","05_02_02_12:57:18","jhm","05_02_02_12:57:50"
"MI_JO_76","JO",76,"C_EGD_2161","Unspecified","invisible_instrument","jhm","06_03_02_12:38:55","jhm","06_03_02_12:39:12"
"MI_JO_77","JO",77,"C_EGD_2162","Unspecified",,"jhm","06_03_02_15:25:59","jhm","06_03_02_15:26:00"
"MI_JO_79","JO",79,"C_EGD_2130","Unspecified",,"jhm","06_10_02_18:07:02","jhm","06_10_02_18:07:03"
"MI_JO_80","JO",80,"C_EGD_2122","Unspecified",,"jhm","06_10_02_18:51:12","jhm","06_10_02_18:51:15"
"MI_JO_81","JO",81,"C_EGD_2141","Unspecified",,"jhm","06_10_02_21:50:58","jhm","06_10_02_21:50:59"
"MI_JO_82","JO",82,"C_EGD_294","Whistle","played_by_James_Kirk","jhm","07_04_02_11:50:45","jhm","07_04_02_11:51:13"
"MI_JO_83","JO",83,"C_EGD_357","Whistle",,"jhm","07_04_02_15:05:46","jhm","07_04_02_15:05:47"
"MI_JO_86","JO",86,"C_JO_3247","Trump","McIllmichall_played_this","jhm","08_27_02_13:50:51","jhm","08_27_02_13:51:21"
"MI_LA_10","LA",10,"C_EGD_693","Pipe",,"LEM","09_11_01_12:59:57","LEM","09_11_01_12:59:58"
"MI_LA_12","LA",12,"C_EGD_692","Pipe",,"LEM","09_11_01_13:02:21","LEM","09_11_01_13:02:22"
"MI_LA_13","LA",13,"C_EGD_613","Pipe",,"LEM","09_11_01_13:24:55","LEM","09_11_01_13:25:12"
"MI_LA_14","LA",14,"C_EGD_34","Pipe",,"LEM","10_08_01_09:57:08","LEM","10_08_01_09:57:17"
"MI_LA_15","LA",15,"C_EGD_63","Trump",,"LEM","10_09_01_12:50:39","LEM","10_09_01_12:50:41"
"MI_LA_2","LA",2,"C_EGD_374","Pipe",,"LEM","07_09_01_11:20:26","LEM","07_09_01_11:20:27"
"MI_LA_3","LA",3,"C_EGD_370",,"Playing","LEM","07_09_01_11:30:29","LEM","07_09_01_11:31:47"
"MI_LA_4","LA",4,"C_LA_2798","Pipe",,"LEM","07_09_01_12:56:26","LEM","07_09_01_12:56:27"
"MI_LA_46","LA",46,"C_EGD_110","Trump",,"LEM","10_10_01_09:19:22","LEM","10_10_01_09:19:23"
"MI_LA_5","LA",5,"C_EGD_609","Pipe","Devil_played_it","LEM","09_07_01_11:51:34","LEM","09_07_01_11:51:43"
"MI_LA_52","LA",52,"C_EGD_103","Trump",,"LEM","10_10_01_15:22:16","LEM","10_10_01_15:22:17"
"MI_LA_53","LA",53,"C_EGD_107","Trump",,"LEM","10_10_01_15:40:29","LEM","10_10_01_15:40:29"
"MI_LA_54","LA",54,"C_EGD_1773","Pipe","Devil_played_it","LEM","01_30_02_13:30:32","LEM","01_31_02_09:52:27"
"MI_LA_55","LA",55,"C_LA_2959","Pipe",,"LEM","01_31_02_09:29:38","LEM","01_31_02_09:29:40"
"MI_LA_56","LA",56,"C_EGD_1778","Pipe","played_by_the_Devil","LEM","01_31_02_09:31:34","LEM","01_31_02_09:31:43"
"MI_LA_57","LA",57,"C_EGD_1781","Pipe","played_by_the_Devil","LEM","01_31_02_09:35:16","LEM","01_31_02_09:35:24"
"MI_LA_58","LA",58,"C_EGD_1774","Pipe","devil_played","LEM","01_31_02_09:38:25","LEM","01_31_02_09:38:29"
"MI_LA_59","LA",59,"C_EGD_1780","Pipe","devil_played_it","LEM","01_31_02_09:48:01","LEM","01_31_02_09:48:11"
"MI_LA_6","LA",6,"C_EGD_606","Pipe","Devil_played_it","LEM","09_07_01_11:53:26","LEM","09_07_01_11:53:34"
"MI_LA_60","LA",60,"C_EGD_1935","Pipe","devil_played","LEM","01_31_02_10:40:08","LEM","01_31_02_10:40:15"
"MI_LA_61","LA",61,"C_LA_2968","Pipe","devil_played","LEM","01_31_02_13:18:37","LEM","01_31_02_13:18:46"
"MI_LA_62","LA",62,"C_LA_2969","Pipe","Devil_played_it.","LEM","01_31_02_13:26:32","LEM","01_31_02_13:26:42"
"MI_LA_63","LA",63,"C_LA_2970","Pipe","devil_played_it.","LEM","01_31_02_14:59:36","LEM","01_31_02_14:59:43"
"MI_LA_64","LA",64,"C_LA_2972","Pipe","the_devil_played_it","LEM","01_31_02_20:56:00","LEM","01_31_02_20:56:08"
"MI_LA_65","LA",65,"C_EGD_1779","Pipe","devil_played_it","LEM","01_31_02_21:07:45","LEM","01_31_02_21:07:50"
"MI_LA_66","LA",66,"C_LA_2973","Pipe","devil_played_it","LEM","01_31_02_21:23:16","LEM","01_31_02_21:23:21"
"MI_LA_67","LA",67,"C_LA_2974","Pipe","devil_played_it","LEM","01_31_02_21:35:23","LEM","01_31_02_21:35:27"
"MI_LA_68","LA",68,"C_LA_2975","Pipe","devil_played_it","LEM","02_01_02_11:23:03","LEM","02_01_02_11:23:08"
"MI_LA_69","LA",69,"C_LA_2976","Pipe","devil_playe_it","LEM","02_01_02_11:46:14","LEM","02_01_02_11:46:19"
"MI_LA_7","LA",7,"C_EGD_607","Pipe","Devil_played_it","LEM","09_07_01_11:53:43","LEM","09_07_01_11:53:51"
"MI_LA_70","LA",70,"C_LA_2977","Pipe","devil_played_it","LEM","02_01_02_11:57:22","LEM","02_01_02_11:57:28"
"MI_LA_71","LA",71,"C_LA_2978","Pipe","devil_played_it","LEM","02_01_02_12:18:23","LEM","02_01_02_12:18:28"
"MI_LA_72","LA",72,"C_LA_2979","Pipe","devil_played_it","LEM","02_01_02_12:30:37","LEM","02_01_02_12:30:44"
"MI_LA_73","LA",73,"C_LA_2980","Pipe","devil_played_it","LEM","02_01_02_12:40:47","LEM","02_01_02_12:40:51"
"MI_LA_8","LA",8,"C_EGD_608","Pipe","Devil_played_it","LEM","09_07_01_11:54:01","LEM","09_07_01_12:02:19"
