OrdealRef,OrdealSystemId,OrdealID,Trialref,Ordealexists,Ordealdate,Ordealdate_as_date,Ordealtype,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"OD_JO_10","JO",10,"T_JO_395",1,"7_1661","07_01_61_00:00:00","Searching","jhm","07_10_01_12:03:25","jhm","07_10_01_12:03:34"
"OD_JO_100","JO",100,"T_JO_901",1,"4_1662","04_01_62_00:00:00","Pricking","jhm","10_08_02_10:52:17","jhm","10_08_02_10:52:23"
"OD_JO_101","JO",101,"T_JO_899",1,"4_1662","04_01_62_00:00:00","Pricking","jhm","10_08_02_10:54:44","jhm","10_08_02_10:54:51"
"OD_JO_102","JO",102,"T_JO_898",1,"4_1662","04_01_62_00:00:00","Pricking","jhm","10_08_02_11:00:48","jhm","10_08_02_11:00:57"
"OD_JO_103","JO",103,"T_JO_900",1,"4_1662","04_01_62_00:00:00","Pricking","jhm","10_08_02_11:01:48","jhm","10_08_02_11:01:53"
"OD_JO_104","JO",104,"T_JO_897",1,"4_1662","04_01_62_00:00:00","Pricking","jhm","10_08_02_11:17:34","jhm","10_08_02_11:17:39"
"OD_JO_105","JO",105,"T_JO_1018",1,"1662","06_01_62_00:00:00","Pricking","jhm","10_08_02_15:44:02","jhm","10_08_02_15:44:08"
"OD_JO_11","JO",11,"T_JO_400",1,"7_1661","07_01_61_00:00:00","Searching","jhm","07_10_01_12:34:26","jhm","07_10_01_12:40:57"
"OD_JO_12","JO",12,"T_JO_401",1,"7_1661","07_01_61_00:00:00","Searching","jhm","07_10_01_12:58:16","jhm","07_10_01_12:58:25"
"OD_JO_24","JO",24,"T_JO_575",1,"6_1649","06_01_49_00:00:00","Bierricht_(corpse_bleeds)","jhm","07_31_01_12:18:11","jhm","07_31_01_12:18:45"
"OD_JO_3","JO",3,"T_JO_91",1,"6_1649","06_01_49_00:00:00","Pricking","jhm","06_13_01_10:28:23","jhm","06_13_01_10:28:52"
"OD_JO_4","JO",4,"T_JO_148",1,"1650","06_01_50_00:00:00","Pricking","jhm","06_18_01_13:29:47","jhm","06_18_01_13:30:15"
"OD_JO_49","JO",49,"T_JO_1421",1,"1644","06_01_44_00:00:00","Bierricht_(corpse_bleeds)","jhm","06_19_02_16:34:26","jhm","06_19_02_16:40:57"
"OD_JO_50","JO",50,"T_JO_1456",1,"23_11_1649","11_23_49_00:00:00","Searching","jhm","07_02_02_10:01:47","jhm","07_02_02_10:02:04"
"OD_JO_51","JO",51,"T_JO_1457",1,"23_11_1649","11_23_49_00:00:00","Searching","jhm","07_02_02_10:13:31","jhm","07_02_02_10:13:39"
"OD_JO_52","JO",52,"T_JO_1458",1,"23_11_1649","11_23_49_00:00:00","Searching","jhm","07_02_02_10:17:43","jhm","07_02_02_10:17:50"
"OD_JO_53","JO",53,"T_JO_1459",1,"23_11_1649","11_23_49_00:00:00","Searching","jhm","07_02_02_10:23:58","jhm","07_02_02_10:24:04"
"OD_JO_54","JO",54,"T_JO_1534",1,"9_1649","09_01_49_00:00:00","Pricking","jhm","07_11_02_15:06:38","jhm","07_11_02_15:06:47"
"OD_JO_55","JO",55,"T_JO_1536",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_11_02_16:13:26","jhm","07_11_02_16:13:33"
"OD_JO_61","JO",61,"T_JO_1642",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_22_02_14:33:26","jhm","07_22_02_14:33:41"
"OD_JO_62","JO",62,"T_JO_1643",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_22_02_14:36:32","jhm","07_22_02_14:36:37"
"OD_JO_63","JO",63,"T_JO_1644",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_22_02_14:40:58","jhm","07_22_02_14:41:06"
"OD_JO_64","JO",64,"T_JO_1645",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_22_02_14:45:56","jhm","07_22_02_14:46:04"
"OD_JO_65","JO",65,"T_JO_1646",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_22_02_14:49:14","jhm","07_22_02_14:49:19"
"OD_JO_66","JO",66,"T_JO_1647",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_22_02_14:51:50","jhm","07_22_02_14:51:55"
"OD_JO_67","JO",67,"T_JO_1648",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_22_02_14:55:00","jhm","07_22_02_14:55:05"
"OD_JO_68","JO",68,"T_JO_1649",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_22_02_14:57:34","jhm","07_22_02_14:57:41"
"OD_JO_69","JO",69,"T_JO_1650",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_22_02_15:01:36","jhm","07_22_02_15:01:41"
"OD_JO_70","JO",70,"T_JO_1651",1,"12_1649","12_01_49_00:00:00","Pricking","jhm","07_22_02_15:07:40","jhm","07_22_02_15:07:45"
"OD_JO_71","JO",71,"T_JO_1663",1,"7_1661","07_01_61_00:00:00","Pricking","jhm","07_24_02_10:54:20","jhm","07_24_02_10:54:28"
"OD_JO_72","JO",72,"T_JO_1664",1,"8_1661","08_01_61_00:00:00","Pricking","jhm","07_24_02_11:04:45","jhm","07_24_02_11:04:54"
"OD_JO_73","JO",73,"T_JO_1665",1,"8_1661","08_01_61_00:00:00","Pricking","jhm","07_24_02_11:10:16","jhm","07_24_02_11:10:26"
"OD_JO_74","JO",74,"T_JO_1666",1,"8_1661","08_01_61_00:00:00","Pricking","jhm","07_24_02_11:59:44","jhm","07_24_02_11:59:56"
"OD_JO_75","JO",75,"T_JO_1667",1,"8_1661","08_01_61_00:00:00","Pricking","jhm","07_24_02_12:05:41","jhm","07_24_02_12:05:48"
"OD_JO_76","JO",76,"T_JO_1669",1,"1_1662","01_01_62_00:00:00","Pricking","jhm","07_24_02_13:09:40","jhm","07_24_02_13:25:50"
"OD_JO_77","JO",77,"T_JO_1670",1,"1_1662","01_01_62_00:00:00","Pricking","jhm","07_24_02_13:18:52","jhm","07_24_02_13:26:01"
"OD_JO_78","JO",78,"T_JO_1671",1,"1_1662","01_01_62_00:00:00","Pricking","jhm","07_24_02_13:23:11","jhm","07_24_02_13:28:24"
"OD_JO_79","JO",79,"T_JO_1712",1,"1661","06_01_61_00:00:00","Searching","jhm","08_07_02_15:25:08","jhm","08_07_02_15:25:59"
"OD_JO_8","JO",8,"T_JO_393",1,"7_1661","07_01_61_00:00:00","Searching","jhm","07_10_01_11:02:35","jhm","07_10_01_11:02:47"
"OD_JO_80","JO",80,"T_JO_1713",1,"1661","06_01_61_00:00:00","Searching","jhm","08_07_02_15:38:42","jhm","08_07_02_15:38:54"
"OD_JO_86","JO",86,"T_JO_1789",1,"1661","06_01_61_00:00:00","Searching","jhm","08_07_02_16:10:17","jhm","08_07_02_16:10:26"
"OD_JO_87","JO",87,"T_JO_1790",1,"1661","06_01_61_00:00:00","Searching","jhm","08_07_02_16:15:37","jhm","08_07_02_16:17:55"
"OD_JO_88","JO",88,"T_JO_1791",1,"1661","06_01_61_00:00:00","Searching","jhm","08_07_02_16:21:27","jhm","08_07_02_16:21:32"
"OD_JO_89","JO",89,"T_LA_326",1,"1661","06_01_61_00:00:00","Searching","jhm","08_07_02_16:26:24","jhm","08_07_02_16:26:42"
"OD_JO_9","JO",9,"T_LA_319",1,"7_1661","07_01_61_00:00:00","Searching","jhm","07_10_01_11:05:04","jhm","07_10_01_11:05:17"
"OD_JO_90","JO",90,"T_JO_1876",1,"6_1649","06_01_49_00:00:00","Pricking","jhm","08_26_02_15:24:34","jhm","08_26_02_15:25:15"
"OD_JO_91","JO",91,"T_JO_1882",1,"7_2_1662","02_07_62_00:00:00","Searching","jhm","08_27_02_11:46:02","jhm","08_27_02_11:46:24"
"OD_JO_93","JO",93,"T_JO_2105",1,,,"Searching","jhm","09_09_02_13:46:43","jhm","09_09_02_13:46:44"
"OD_JO_94","JO",94,"T_JO_2107",1,,,"Searching","jhm","09_09_02_13:48:38","jhm","09_09_02_13:48:46"
"OD_JO_95","JO",95,"T_JO_2106",1,,,"Searching","jhm","09_09_02_13:48:49","jhm","09_09_02_13:53:32"
"OD_JO_96","JO",96,"T_JO_831",1,"1_1662","01_01_62_00:00:00","Pricking","jhm","10_08_02_08:51:12","jhm","10_08_02_08:51:33"
"OD_JO_97","JO",97,"T_JO_833",1,"1_1662","01_01_62_00:00:00","Pricking","jhm","10_08_02_08:56:02","jhm","10_08_02_08:56:08"
"OD_JO_98","JO",98,"T_JO_834",1,"1_1662","01_01_62_00:00:00","Pricking","jhm","10_08_02_09:07:57","jhm","10_08_02_09:08:02"
"OD_JO_99","JO",99,"T_JO_832",1,"1_1662","01_01_62_00:00:00","Pricking","jhm","10_08_02_09:16:47","jhm","10_08_02_09:16:54"
"OD_LA_1","LA",1,"T_LA_10",1,,,"Pricking","LEM","05_18_01_12:47:27","LEM","05_18_01_12:47:35"
"OD_LA_106","LA",106,"T_JO_627",1,"7_1677","07_01_77_00:00:00","Pricking","LEM","10_09_02_16:22:42","LEM","10_09_02_16:22:50"
"OD_LA_107","LA",107,"T_JO_1117",1,"2_12_1649","12_02_49_00:00:00","Pricking","LEM","10_09_02_16:23:49","LEM","10_09_02_16:23:58"
"OD_LA_108","LA",108,"T_JO_1118",1,"1_12_1649","12_01_49_00:00:00","Pricking","LEM","10_09_02_16:25:06","LEM","10_09_02_16:25:12"
"OD_LA_109","LA",109,"T_JO_1119",1,"2_12_1649","12_02_49_00:00:00","Pricking","LEM","10_09_02_16:25:49","LEM","10_09_02_16:25:54"
"OD_LA_110","LA",110,"T_JO_1120",1,"2_12_1649","12_02_49_00:00:00","Pricking","LEM","10_09_02_16:26:16","LEM","10_09_02_16:26:22"
"OD_LA_111","LA",111,"T_JO_1121",1,"2_12_1649","12_02_49_00:00:00","Pricking","LEM","10_09_02_16:27:13","LEM","10_09_02_16:27:22"
"OD_LA_112","LA",112,"T_JO_1122",1,"2_12_1649","12_02_49_00:00:00","Pricking","LEM","10_09_02_16:27:43","LEM","10_09_02_16:27:48"
"OD_LA_113","LA",113,"T_JO_1123",1,"2_12_1649","12_02_49_00:00:00","Pricking","LEM","10_09_02_16:28:12","LEM","10_09_02_16:28:18"
"OD_LA_114","LA",114,"T_JO_1208",1,"4_1650","04_01_50_00:00:00","Pricking","LEM","10_09_02_16:28:35","LEM","10_09_02_16:28:41"
"OD_LA_115","LA",115,"T_JO_628",1,"7_1677","07_01_77_00:00:00","Pricking","LEM","10_09_02_16:29:10","LEM","10_09_02_16:29:16"
"OD_LA_116","LA",116,"T_JO_1305",1,"11_1597","11_01_97_00:00:00","Pricking","LEM","10_09_02_16:29:33","LEM","10_09_02_16:29:39"
"OD_LA_117","LA",117,"T_JO_629",1,"7_1677","07_01_77_00:00:00","Pricking","LEM","10_09_02_16:29:58","LEM","10_09_02_16:30:03"
"OD_LA_118","LA",118,"T_JO_788",1,"4_1650","04_01_50_00:00:00","Pricking","LEM","10_09_02_16:30:22","LEM","10_09_02_16:30:28"
"OD_LA_119","LA",119,"T_JO_789",1,"4_1650","04_01_50_00:00:00","Pricking","LEM","10_09_02_16:30:49","LEM","10_09_02_16:30:54"
"OD_LA_120","LA",120,"T_JO_867",1,"1661","06_01_61_00:00:00","Pricking","LEM","10_09_02_16:31:31","LEM","10_09_02_16:31:36"
"OD_LA_121","LA",121,"T_JO_868",1,"12_1661","12_01_61_00:00:00","Pricking","LEM","10_09_02_16:31:53","LEM","10_09_02_16:31:57"
"OD_LA_122","LA",122,"T_JO_574",1,"11_10_1649","10_11_49_00:00:00","Pricking","LEM","10_09_02_16:35:22","LEM","10_09_02_16:35:30"
"OD_LA_123","LA",123,"T_JO_598",1,"7_1678","07_01_78_00:00:00","Pricking","LEM","10_09_02_16:35:52","LEM","10_09_02_16:36:03"
"OD_LA_124","LA",124,"T_JO_626",1,"7_1677","07_01_77_00:00:00","Pricking","LEM","10_09_02_16:37:03","LEM","10_09_02_16:37:08"
"OD_LA_125","LA",125,"T_JO_1074",1,"8_1661","08_01_61_00:00:00","Pricking","LEM","10_09_02_16:37:50","LEM","10_09_02_16:37:56"
"OD_LA_126","LA",126,"T_JO_1113",1,"12_1649","12_01_49_00:00:00","Pricking","LEM","10_09_02_16:38:13","LEM","10_09_02_16:38:19"
"OD_LA_127","LA",127,"T_JO_1114",1,"2_12_1649","12_02_49_00:00:00","Pricking","LEM","10_09_02_16:38:34","LEM","10_09_02_16:38:40"
