PersonRef,PersonID,PersonSystemId,FirstName,LastName,Other_Details,Title,Occupation,Office,Residence,IsDeleted,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"JO_1",1,"JO","Thomas","Leslie",,"Mr",,"Sheriff_depute","Aberdeen",0,"Involved_in_1597-8_cases_in_Aberdeen.","jhm","05_16_01_14:58:41","jhm","01_22_04_11:10:04"
"JO_100",100,"JO","John","Makghie",,"Mr","minister",,"Dirleton",0,"Involved_in_cases_in_1649._Minister_at_Direlton_1639_intil_1683._He_did_not_conform_to_episcopacy_but_seems_to_have_been_tolerated_until_1683.","jhm","06_13_01_10:19:52","jhm","01_22_04_13:28:55"
"JO_1000",1000,"JO","Alexander","Innes",,"of_Dunscaith",,,"Dunscaith,_Skye",0,"Commissioner_in_1662.","jhm","10_18_01_15:35:31","jhm","12_01_03_10:49:51"
"JO_1001",1001,"JO","Alexander","Urquhart",,"of_Kinnondie",,,"Kinnondie",0,"Commissioner_in_1662.","jhm","10_18_01_15:36:08","jhm","12_18_03_11:50:24"
"JO_1002",1002,"JO","John","Bain",,"of_Delny",,,"Delny",0,"Commissioner_in_1662.","jhm","10_18_01_15:37:00","jhm","11_12_03_15:47:12"
"JO_1003",1003,"JO","Colin","MacKenzie",,"of_Kincraig",,,"Kincraig",0,"Commissioner_in_1662.","jhm","10_18_01_15:37:47","jhm","12_02_03_10:59:45"
"JO_1004",1004,"JO","Andrew","Ker",,"Sir_of_Cavers",,,,0,"Son_of_Sir_Thomas_Ker_of_Cavers_LA_597._Commissioner_in_1662.","jhm","10_18_01_15:51:10","jhm","01_22_04_10:40:29"
"JO_1005",1005,"JO","Andrew","Ker",,"of_Littledean",,,"Littledean",0,"Commissioner_in_1662._Was_this_the_Ker_of_Littledean_who_was_chased_by_hares_that_he_believed_were_witches?","jhm","10_18_01_15:52:10","jhm","01_22_04_10:40:08"
"JO_1006",1006,"JO","John","Haliburton",,"of_Muirhouse",,,"Muirhouse",0,"Commissioner_in_1662","jhm","10_18_01_15:53:33","jhm","11_27_03_12:13:38"
"JO_1007",1007,"JO","Robert","Pringle",,"of_Clifton",,,"Clifton",0,"Commissioner_in_1662.","jhm","10_18_01_15:54:14","jhm","12_05_03_16:35:16"
"JO_1008",1008,"JO","Gavin","Elliot",,"of_Grange",,,"Grange",0,"Commissioner_in_1662.","jhm","10_18_01_15:54:46","jhm","11_20_03_16:37:22"
"JO_1009",1009,"JO","Patrick","Don",,,,"bailie","Kelso",0,"Commissioner_in_1662.","jhm","10_18_01_15:55:41","jhm","11_20_03_15:04:41"
"JO_101",101,"JO","John","Kincaid",,,"witchpricker",,,0,"Involved_in_cases_in_1649_and_1659-61._Not_the_same_as_LA_1125.","jhm","06_13_01_10:56:38","jhm","12_01_03_14:46:55"
"JO_1010",1010,"JO","David","Hunter",,"of_Restennett",,,"Restennett",0,"Involved_in_1662-4.","jhm","10_18_01_16:05:05","jhm","12_01_03_10:05:35"
"JO_1011",1011,"JO","John","Dick",,,"witch-pricker",,,0,"Involved_in_case_in_1661.","jhm","10_18_01_16:16:05","jhm","11_20_03_14:54:18"
"JO_1012",1012,"JO","James","Dunlop",,"of_Househill",,,"Househill",0,"Commissioner_in_1663","jhm","10_19_01_09:40:30","jhm","11_20_03_16:15:36"
"JO_1013",1013,"JO","Robert","Alexander",,"of_Blackhouse",,,"Renfrew",0,"Commissioner_in_1662_and_involved_in_cases_in_1663_and_1677._Probably_related_to_John_Alexander_LA_1122.","jhm","10_19_01_09:41:08","jhm","12_19_03_14:17:40"
"JO_1014",1014,"JO","Robert","Sempill",,"of_Renfrew",,,"Renfrew",0,"Commissioner_in_1663._See_also_Robert_Sempill_LA_1123,_may_be_related.","jhm","10_19_01_09:42:00","jhm","01_22_04_13:52:14"
"JO_1015",1015,"JO","George","Patrick",,,,,"Bolton",0,"Involved_in_investigations_in_1661.","jhm","10_19_01_10:25:46","jhm","12_05_03_14:42:32"
"JO_1016",1016,"JO","John","Begbie",,,,,"Bolton",0,"Involved_in_investigations_in_1661.","jhm","10_19_01_10:26:26","jhm","11_12_03_15:52:18"
"JO_1017",1017,"JO","Andrew","Yule",,,,,"Brandwoodside",0,"Involved_in_investigations_in_1661.","jhm","10_19_01_10:27:24","jhm","12_19_03_11:32:14"
"JO_102",102,"JO","Alexander","Livingston",,"of_Saltcoats",,,"Saltcoats",0,"Involved_in_cases_in_1649.","jhm","06_13_01_10:58:15","jhm","12_01_03_15:57:20"
"JO_1020",1020,"JO","George","Begbie",,,,,"Bolton",0,"Involved_in_investigations_in_1661.","jhm","10_19_01_10:51:27","jhm","11_12_03_15:52:04"
"JO_1021",1021,"JO","Patrick","Begbie",,,,,"Bolton",0,"Involved_in_investigations_in_1661.","jhm","10_19_01_10:52:09","jhm","11_12_03_15:52:38"
"JO_1022",1022,"JO","James","Gottray",,,,,"Over_Bolton",0,"Investigated_people_in_1661.","jhm","10_19_01_12:00:24","jhm","11_27_03_09:35:44"
"JO_1023",1023,"JO","John","Cantlie",,,,"servitor_to_Earl_of_Lauderdale",,0,"Involved_in_investigations_in_1661.","jhm","10_19_01_12:01:07","jhm","11_20_03_10:42:17"
"JO_1024",1024,"JO","Thomas","MacCoul",,,,,"Bolton",0,"Involved_in_investigations_in_1661.","jhm","10_19_01_12:01:54","jhm","01_22_04_11:35:43"
"JO_1025",1025,"JO","Richard","Mathie",,,,,"Bolton",0,"Involved_in_investigations_in_1661.","jhm","10_19_01_12:18:10","jhm","12_02_03_10:16:23"
"JO_1026",1026,"JO","Joseph","Provan",,,"minister",,"Morham",0,"Minister_at_Garvald_and_Bara,_then_Morham_between_1653_and_1662._Involved_in_cases_in_1661.","jhm","10_19_01_12:57:44","jhm","12_12_03_09:35:58"
"JO_1027",1027,"JO","Robert","Rowan",,"Mr","minister",,"Penninghame",0,"Minister_at_Penninghame_between_1696-1714._Involved_in_investigations_in_1706.","jhm","10_23_01_10:42:12","jhm","12_12_03_12:21:16"
"JO_1028",1028,"JO","Thomas","Kerr",,"Mr","minister",,"Wigtown",0,"Minister_at_Wigtown_between_1701-1729._Involved_in_investigations_in_1706.","jhm","10_23_01_10:43:09","jhm","12_01_03_14:45:15"
"JO_1029",1029,"JO","Samuel","Spalding",,"Mr","minister",,"Parton",0,"Minister_at_Parton_until_1712._Involved_in_investigations_in_1704.","jhm","10_23_01_15:29:56","jhm","12_15_03_12:13:20"
"JO_103",103,"JO","James","Borthwick",,,,"chamberlain","Dirleton",0,"Involved_in_cases_in_1649.","jhm","06_13_01_10:59:32","jhm","12_19_03_14:42:16"
"JO_104",104,"JO","John","Stalker",,,,"bailie","Dirleton",0,"Involved_in_case_in_1649.","jhm","06_13_01_11:49:13","jhm","12_15_03_12:23:01"
"JO_105",105,"JO","James","Foreman",,,,,"Drem",0,"Involved_in_case_in_1649.","jhm","06_13_01_11:49:47","jhm","11_25_03_10:26:12"
"JO_1059",1059,"JO","James","Hamilton",,"Mr","minister","first_charge_of_Lesmahagow","Lesmahagow",0,"Minister_between_1602_and_1631._Was_a_very_strict_disciplinarian._Involved_in_case_in_1623.","jhm","11_23_01_11:25:06","jhm","11_27_03_12:30:21"
"JO_106",106,"JO","James","Acheson",,"Mr",,,"North_Berwick",0,"Involved_in_case_in_1649.","jhm","06_13_01_11:50:39","jhm","11_12_03_13:47:24"
"JO_1060",1060,"JO","John","Currie",,"Mr",,"minister","Coulter",0,"Minister_at_Coulter,_1636-56._Involved_in_case_in_1642.","jhm","11_23_01_14:08:17","jhm","11_20_03_14:30:35"
"JO_1061",1061,"JO","David","Murray","knight","Sir_of_Stanhope",,"ruling_elder","Drummelzier",0,"Ruling_elder_in_Culter_parish_(?)_1640._Involved_in_cases_in_1642,_1644_and_1649-50.","jhm","11_23_01_14:10:39","jhm","12_05_03_10:36:49"
"JO_1062",1062,"JO","George","Bennet",,"Mr","minister",,"Quothquan_and_St_Ninians",0,"Minister_at_Quothquan,_1635-1649_and_also_St_Ninian's,_1650-74._Was_member_of_commission_of_Assemblies,_1645-9._Involved_in_cases_in_1642_and_1658.","jhm","11_23_01_14:37:57","jhm","12_19_03_14:38:03"
"JO_1063",1063,"JO","James","Douglas",,"mr","minister",,"Carnwath",0,"Minister_at_Carnwath,_1640-46._Involved_in_1644.","jhm","11_23_01_14:39:16","jhm","11_20_03_15:19:53"
"JO_1064",1064,"JO","William","Carmichael",,"Sir",,,,0,"Was_to_be_contacted_re_getting_a_commission_in_1641.","jhm","11_23_01_15:01:53","jhm","11_20_03_10:47:24"
"JO_1065",1065,"JO","Archibald","Angus",,"Earl_of_Angus",,,,0,"Contacted_in_order_to_apply_for_commission_in_1641._Related_to_LA_118.","jhm","11_23_01_15:08:20","jhm","12_19_03_14:20:48"
"JO_1066",1066,"JO",,"Hamilton",,"Laird_of_Hamilton",,,,0,"Contacted_about_getting_a_commission_in_1641._Unable_to_find_more_details.","jhm","11_23_01_15:09:18","jhm","01_09_04_12:09:13"
"JO_1067",1067,"JO","Alexander","Somerville",,"Mr",,"minister","Dolphinton",0,"Minister_at_Dolphinton,_1618-1648,_on_Commission_of_Assemblies,_1638,_39,_41,_45,_47._Involved_in_case_in_1641.","jhm","11_23_01_15:25:45","jhm","01_22_04_14:02:50"
"JO_1068",1068,"JO","John","Home",,"Mr",,"minister","Lesmahagow",0,"Minister_at_Lesmahagow,_1641-1665._Commissioner_of_Assembly_1648._Involved_in_cases_in_1647-50._Not_the_same_as_LA_131.","jhm","11_27_01_10:20:49","jhm","11_27_03_16:28:00"
"JO_1069",1069,"JO","William","Lockhart",,,"servant","servant_of_Marquis_of_Douglas",,0,"Involved_in_cases_in_1649-50.","jhm","11_27_01_12:09:57","jhm","12_01_03_16:14:51"
"JO_107",107,"JO","William","Dalyell",,,"notary",,"Dirleton",0,"Alternative_spellings_Dalyell_or_Dalziel._Involved_in_cases_in_1649.","jhm","06_13_01_11:51:18","jhm","11_20_03_14:37:42"
"JO_1070",1070,"JO","Alexander","Lindsay",,,"servant","servant_to_Marquis_of_Douglas",,0,"Involved_in_cases_in_1649-50.","jhm","11_27_01_12:11:23","jhm","12_01_03_16:36:15"
"JO_1071",1071,"JO","Patrick","Craig",,,,"bailie","Lanark",0,"Involved_in_cases_in_1649_50.","jhm","11_27_01_12:12:43","jhm","11_20_03_13:38:15"
"JO_1072",1072,"JO","Gideon","Fathie",,,,"bailie","Lanark",0,"Involved_in_cases_in_1649_50.","jhm","11_27_01_12:13:42","jhm","01_07_04_12:04:23"
"JO_1073",1073,"JO","James","Cuningham",,"of_Cobleshaugh",,,"Cobleshaugh",0,"Involved_in_cases_in_1649_50.","jhm","11_27_01_12:14:56","jhm","11_20_03_14:20:52"
"JO_1074",1074,"JO","James","Veitch",,"Mr",,,"Lanarkshire",0,"Involved_in_cases_in_1649_50.","jhm","11_27_01_12:16:11","jhm","12_18_03_12:07:08"
"JO_1075",1075,"JO","William","Morton",,"Mr",,"minister","Wiston",0,"Mnister_at_Wiston_1642-1668._Involved_in_cases_in_1650.","jhm","11_27_01_12:17:32","jhm","12_02_03_12:54:50"
"JO_1076",1076,"JO","John","Wilson",,"Mr","minister",,"Crawford",0,"Involved_in_cases_in_1649_50._Minister_at_Crawford_1623,_suspended_1646_and_died_in_1649.","jhm","11_27_01_12:19:53","jhm","12_19_03_12:14:01"
"JO_1077",1077,"JO","John","Veitch",,"Mr","minister",,"Roberton",0,"Involved_in_cases_in_1649_50._Father_of_John_Veitch_LA_1598._Was_minister_at_Roberton_from_1624,_joined_the_Resolutioners_and_was_deprived_by_Protesters_in_1654._Was_later_appointed_schoolmaster_in_1660.","jhm","11_27_01_12:20:48","jhm","01_22_04_15:14:24"
"JO_1078",1078,"JO","Robert","Sempill",,"Mr","minister","2nd_charge","Lesmahagow",0,"Involved_in_cases_in_1649_50._Minister_at_Lesmahagow_2nd_charge_1648-1659,_transferred_to_Slammanan.","jhm","11_27_01_12:21:36","jhm","01_22_04_15:16:15"
"JO_1079",1079,"JO","Alexander","Tenant",,,,,,0,"Ordered_to_investigate_cases_by_committee_of_estates,_1649-50.","jhm","11_27_01_12:22:33","jhm","12_17_03_10:49:08"
"JO_108",108,"JO","Robert","Ker",,"Mr","minister",,"Haddington",0,"Involved_in_cases_in_1649,_1661-2_and_1678._Minister_at_Haddington_1647-1677._Member_of_commission_for_Assembly_in_1647_and_1648.","jhm","06_13_01_12:20:11","jhm","12_01_03_15:11:05"
"JO_1080",1080,"JO","William","Somerville",,"Mr","minister",,"Pettinain",0,"Minister_at_Pettinain_1642-1661,_member_of_Commission_of_Assembly_1649._Involved_in_cases_in_1649-50.","jhm","11_27_01_12:43:56","jhm","12_15_03_12:09:33"
"JO_1081",1081,"JO","Richard","Inglis",,"Mr","minister",,"Douglas",0,"Minister_at_Douglas,_1641-1657,_commission_of_Assembly_1644_and_1649._Involved_in_cases_in_1650.","jhm","11_27_01_12:44:39","jhm","12_01_03_10:40:01"
"JO_1082",1082,"JO","William","Douglas",,"Marquis_of_Douglas",,,,0,"In_trouble_for_his_papacy_in_the_1650s._Involved_in_cases_in_1650_and_1661._Requested_to_investigated_case_from_North_Berwick_in_1661.","jhm","11_27_01_13:05:24","jhm","01_07_04_11:47:47"
"JO_1083",1083,"JO","James","Taylor",,"Mr","minister",,"Greenock",0,"Minister_at_Greenock_in_1649._Involved_in_cases_in_1650_and_1697.","jhm","12_04_01_09:33:14","jhm","12_17_03_10:47:11"
"JO_1084",1084,"JO","William","Muir","Laird_of_Glanderstoun","of_Glanderston",,,"Glanderston",0,"commissioner_in_1650_and_involved_in_investigations_in_1649._Names_may_also_be_spelt_Mure._Related_LA_1120.","jhm","12_04_01_09:38:46","jhm","01_22_04_11:48:51"
"JO_1085",1085,"JO","John","Hamilton",,"Mr","minister",,"Inverkip",0,"Minister_at_Inverkip_in_1626-1664._He_tortured_Janet_Love_extensively!_Involved_in_cases_in_1642_and_1650.","jhm","12_04_01_09:41:29","jhm","11_27_03_12:33:49"
"JO_1086",1086,"JO","Alexander","Dunlop",,"Mr","minister",,"Greenock",0,"Minister_at_Greenock,_1644-1661._Involved_in_cases_in_1650.","jhm","12_04_01_09:51:50","jhm","11_20_03_16:14:03"
"JO_1087",1087,"JO","John","Stirling",,"Mr","minister",,"Greenock",0,"Minister_at_Greenock,_1695._Involved_in_cases_in_1696-7_and_1700.","jhm","12_04_01_11:55:18","jhm","12_15_03_15:11:45"
"JO_1088",1088,"JO","Andrew","Turner",,"Mr","minister",,"Erskine",0,"Minister_at_Erskine,_1695._Involved_in_cases_in_1697.","jhm","12_04_01_11:55:57","jhm","12_18_03_11:11:59"
"JO_1089",1089,"JO","James","Brisbane",,"Mr","minister",,"Kilmacolm",0,"Minister_in_1695._Involved_in_cases_in_1697,_1699_and_1700.","jhm","12_04_01_11:56:36","jhm","12_19_03_14:44:20"
"JO_109",109,"JO","Thomas","Foulis",,,,,"Haddington",0,"Involved_in_cases_in_1649.","jhm","06_13_01_12:21:11","jhm","11_25_03_11:52:47"
"JO_1090",1090,"JO","Patrick","Simpson",,"Mr","minister",,"Renfrew",0,"Minister_until_1715._Involved_in_cases_in_1697_and_1700.","jhm","12_04_01_14:09:48","jhm","12_15_03_10:15:12"
"JO_1091",1091,"JO","Thomas","Blackwell",,"Mr","minister",,"Paisley",0,"Minister_at_Paisley_in_1696._Involved_in_cases_in_1696-7_and_1700.","jhm","12_04_01_14:11:06","jhm","11_18_03_09:55:34"
"JO_1092",1092,"JO","James","Hutchison",,"Mr","minister",,"Kilellan",0,"Minister_in_1696._Involved_in_cases_in_1697_and_1700.","jhm","12_04_01_14:12:50","jhm","12_01_03_10:13:06"
"JO_1093",1093,"JO","Matthew","Brisbane",,"Dr","physician",,"Glasgow",0,"Was_he_related_to_any_of_the_other_Brisbanes_from_Bishopton?_Involved_in_cases_and_trials_in_1697.","jhm","12_04_01_14:14:33","jhm","12_19_03_14:45:26"
"JO_1094",1094,"JO","David","Brown",,"Mr","minister",,"Neilston",0,"Minister_in_1696._Involved_in_cases_in_1696-7_and_1700.","jhm","12_04_01_14:15:52","jhm","11_18_03_11:22:45"
"JO_1095",1095,"JO","Alexander","Stewart","5th_Lord_Blantyre","Lord_Blantyre",,,"Blantyre",0,"Commissioner_on_supply_for_Renfrew._Involved_in_cases_in_1697,_1699_and_1700.","jhm","12_04_01_14:19:14","jhm","12_15_03_12:30:50"
