PropertyDamageRef,PropertyDamageSystemId,PropertyDamageID,CaseRef,PropertyDamage_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"PD_JO_1","JO",1,"C_EGD_2120","Whole_Estate","jhm","05_16_01_16:49:03","jhm","05_16_01_16:49:05"
"PD_JO_137","JO",137,"C_JO_2928","Animals","jhm","11_27_01_12:39:18","jhm","11_27_01_12:39:20"
"PD_JO_138","JO",138,"C_EGD_1820","Animals","jhm","11_27_01_13:29:36","jhm","11_27_01_13:29:39"
"PD_JO_140","JO",140,"C_EGD_2260","Boats","jhm","01_23_02_11:30:12","jhm","01_23_02_11:30:14"
"PD_JO_141","JO",141,"C_EGD_2260","Meal","jhm","01_23_02_11:35:10","jhm","01_23_02_11:35:14"
"PD_JO_142","JO",142,"C_EGD_2259","Boats","jhm","01_23_02_11:38:30","jhm","01_23_02_11:38:32"
"PD_JO_143","JO",143,"C_EGD_2011","Meal","jhm","02_05_02_15:21:33","jhm","02_05_02_15:21:57"
"PD_JO_144","JO",144,"C_EGD_2011","Dairy","jhm","02_05_02_15:21:36","jhm","02_05_02_15:21:38"
"PD_JO_145","JO",145,"C_EGD_2387","Ale","jhm","02_07_02_10:20:01","jhm","02_07_02_10:20:02"
"PD_JO_146","JO",146,"C_EGD_2387","Dairy","jhm","02_07_02_10:20:05","jhm","02_07_02_10:20:14"
"PD_JO_147","JO",147,"C_JO_2959","Boats","jhm","02_07_02_14:56:19","jhm","02_07_02_14:56:21"
"PD_JO_148","JO",148,"C_JO_2959","Dairy","jhm","02_07_02_14:56:34","jhm","02_07_02_14:56:35"
"PD_JO_149","JO",149,"C_JO_2959","Mill","jhm","02_07_02_14:57:27","jhm","02_07_02_14:57:31"
"PD_JO_15","JO",15,"C_EGD_2121","Whole_Estate","jhm","06_05_01_15:10:34","jhm","06_05_01_15:10:50"
"PD_JO_150","JO",150,"C_EGD_1848","Animals","jhm","02_07_02_15:57:00","jhm","02_07_02_15:57:01"
"PD_JO_151","JO",151,"C_EGD_1848","Dairy","jhm","02_07_02_15:57:04","jhm","02_07_02_15:57:35"
"PD_JO_152","JO",152,"C_EGD_1284","Dairy","jhm","02_08_02_11:11:39","jhm","02_08_02_11:11:44"
"PD_JO_153","JO",153,"C_EGD_1025","Ale","jhm","02_18_02_16:06:43","jhm","02_18_02_16:06:48"
"PD_JO_155","JO",155,"C_EGD_745","Fishing","jhm","03_07_02_15:39:50","jhm","03_07_02_15:42:37"
"PD_JO_156","JO",156,"C_JO_3012","Crops","jhm","04_17_02_11:44:52","jhm","04_17_02_11:44:53"
"PD_JO_157","JO",157,"C_JO_3025","Animals","jhm","05_01_02_16:47:43","jhm","05_01_02_16:47:45"
"PD_JO_158","JO",158,"C_JO_3025","Plough","jhm","05_01_02_16:48:49","jhm","05_01_02_16:48:55"
"PD_JO_159","JO",159,"C_EGD_2119","Dairy","jhm","05_02_02_12:32:28","jhm","05_02_02_12:32:35"
"PD_JO_160","JO",160,"C_EGD_2119","Mill","jhm","05_02_02_12:33:01","jhm","05_02_02_12:33:17"
"PD_JO_161","JO",161,"C_EGD_2119","Whole_Estate","jhm","05_02_02_12:37:03","jhm","05_02_02_12:37:13"
"PD_JO_162","JO",162,"C_EGD_2119","Crops","jhm","05_02_02_12:42:45","jhm","05_02_02_12:42:47"
"PD_JO_163","JO",163,"C_EGD_2150","Dairy","jhm","05_08_02_14:54:16","jhm","05_08_02_14:54:19"
"PD_JO_164","JO",164,"C_EGD_2172","Dairy","jhm","05_08_02_16:52:10","jhm","05_08_02_16:52:21"
"PD_JO_165","JO",165,"C_EGD_2172","Crops","jhm","05_08_02_16:52:23","jhm","05_08_02_16:52:29"
"PD_JO_166","JO",166,"C_EGD_2159","Dairy","jhm","05_09_02_13:00:41","jhm","05_09_02_13:00:42"
"PD_JO_167","JO",167,"C_EGD_2159","Whole_Estate","jhm","05_09_02_13:01:59","jhm","05_09_02_13:02:23"
"PD_JO_168","JO",168,"C_EGD_2160","Dairy","jhm","05_09_02_16:48:04","jhm","05_09_02_16:48:06"
"PD_JO_169","JO",169,"C_EGD_2168","Plough","jhm","05_09_02_17:21:20","jhm","05_09_02_17:21:21"
"PD_JO_170","JO",170,"C_EGD_2168","Animals","jhm","05_09_02_17:21:56","jhm","05_09_02_17:23:18"
"PD_JO_171","JO",171,"C_EGD_2168","Whole_Estate","jhm","05_13_02_10:22:31","jhm","05_13_02_10:22:33"
"PD_JO_172","JO",172,"C_JO_3035","Whole_Estate","jhm","06_03_02_11:50:59","jhm","06_03_02_11:51:01"
"PD_JO_173","JO",173,"C_EGD_2154","Animals","jhm","06_03_02_17:24:18","jhm","06_03_02_17:24:19"
"PD_JO_174","JO",174,"C_EGD_2123","Whole_Estate","jhm","06_10_02_20:45:51","jhm","06_10_02_20:45:52"
"PD_JO_175","JO",175,"C_EGD_2123","Mill","jhm","06_10_02_20:46:12","jhm","06_10_02_20:46:14"
"PD_JO_176","JO",176,"C_EGD_2312","Crops","jhm","06_19_02_13:54:34","jhm","06_19_02_13:54:35"
"PD_JO_177","JO",177,"C_EGD_2286","Dairy","jhm","06_19_02_14:35:21","jhm","06_19_02_14:35:21"
"PD_JO_178","JO",178,"C_EGD_2306","Dairy","jhm","06_19_02_14:44:47","jhm","06_19_02_14:44:50"
"PD_JO_179","JO",179,"C_EGD_2306","Crops","jhm","06_19_02_14:48:43","jhm","06_19_02_14:48:45"
"PD_JO_180","JO",180,"C_EGD_2285","Whole_Estate","jhm","06_19_02_14:53:51","jhm","06_19_02_14:53:55"
"PD_JO_181","JO",181,"C_EGD_2327","Crops","jhm","06_19_02_15:46:16","jhm","06_19_02_15:46:17"
"PD_JO_182","JO",182,"C_EGD_2327","Dairy","jhm","06_19_02_15:48:57","jhm","06_19_02_15:48:57"
"PD_JO_183","JO",183,"C_EGD_2327","Boats","jhm","06_19_02_15:59:38","jhm","06_19_02_15:59:40"
"PD_JO_191","JO",191,"C_JO_3058","Animals","jhm","06_26_02_12:19:15","jhm","06_26_02_12:19:19"
"PD_JO_192","JO",192,"C_JO_3061","Dairy","jhm","06_28_02_09:59:10","jhm","06_28_02_09:59:11"
"PD_JO_193","JO",193,"C_JO_3086","Animals","jhm","07_03_02_15:47:21","jhm","07_03_02_15:47:22"
"PD_JO_194","JO",194,"C_JO_3086","Crops","jhm","07_03_02_15:47:22","jhm","07_03_02_15:47:28"
"PD_JO_195","JO",195,"C_JO_3086","Whole_Estate","jhm","07_03_02_15:47:30","jhm","07_03_02_15:47:36"
"PD_JO_196","JO",196,"C_EGD_297","Animals","jhm","07_04_02_11:01:02","jhm","07_04_02_11:01:06"
"PD_JO_197","JO",197,"C_EGD_2148","Mill","jhm","07_09_02_09:15:17","jhm","07_09_02_09:15:21"
"PD_JO_198","JO",198,"C_EGD_2149","Mill","jhm","07_09_02_09:38:45","jhm","07_09_02_09:38:48"
"PD_JO_199","JO",199,"C_EGD_2158","Animals","jhm","07_09_02_11:35:44","jhm","07_09_02_11:35:46"
"PD_JO_2","JO",2,"C_EGD_2120","Ale","jhm","05_16_01_16:57:28","jhm","05_16_01_16:59:17"
"PD_JO_200","JO",200,"C_EGD_2158","Whole_Estate","jhm","07_09_02_11:35:46","jhm","07_09_02_11:35:53"
"PD_JO_201","JO",201,"C_EGD_2158","Mill","jhm","07_09_02_11:35:53","jhm","07_09_02_11:35:56"
"PD_JO_202","JO",202,"C_EGD_2374","Animals","jhm","07_11_02_15:11:17","jhm","07_11_02_15:11:18"
"PD_JO_203","JO",203,"C_EGD_2374","Dairy","jhm","07_11_02_15:11:20","jhm","07_11_02_15:11:23"
"PD_JO_204","JO",204,"C_JO_3107","Dairy","jhm","07_18_02_09:01:01","jhm","07_18_02_09:01:02"
"PD_JO_205","JO",205,"C_JO_3107","Crops","jhm","07_18_02_09:01:37","jhm","07_18_02_09:01:38"
