ReferenceRef,RefSystemID,ReferenceID,CaseRef,SourceRef,Reference,KirkSession,Presbytery,BurghCourt,Confession,DraftDittay,Comm_CourtMin,Just_CourtMin,Circuit_CourtMin,Dittay,Pleadings,WitDep,WitStatement,CommJust,PrivyCouncil,Parliament,Estates,Royal,CommText,Verdict,Sentence,Chronicle,Financial,Other,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"R_EGD_10","EGD",10,"C_EGD_10","APS","Vol_VI,_part_2,_p_516.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"execution_of_suspects",,"SMD","05_15_01_17:33:52","jhm","07_30_02_15:30:20"
"R_EGD_100","EGD",100,"C_EGD_100","Pitcairn","v_I,_part_II,_page_239-241",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"same_text_as_JC2_2","SMD","05_15_01_17:33:52","jhm","10_07_02_12:13:36"
"R_EGD_1000","EGD",1000,"C_EGD_1000","RPC","2nd_S,_v1_p._600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_15:25:27"
"R_EGD_1001","EGD",1001,"C_EGD_1001","RPC","2nd_S,_v1_p._586",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_14:53:51"
"R_EGD_1002","EGD",1002,"C_EGD_1002","RPC","2nd_S,_v1_p._596",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_15:34:33"
"R_EGD_1003","EGD",1003,"C_EGD_1003","RPC","2nd_S,_v1_p._607",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_15:35:06"
"R_EGD_1005","EGD",1005,"C_EGD_1005","RPC","2nd_S,_v2_p._122,_135,_142-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Privy_Council_commission,_caution_and_suspention_of_commission.","SMD","05_15_01_17:33:52","jhm","10_01_02_10:22:38"
"R_EGD_1006","EGD",1006,"C_EGD_1006","RPC","2nd_S,_v2_p._317",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_15:57:16"
"R_EGD_1007","EGD",1007,"C_EGD_1007","RPC","2nd_S,_v2_p._328-29",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_16:06:51"
"R_EGD_1008","EGD",1008,"C_EGD_1008","RPC","2nd_S,_v2_p._328-9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_16:06:42"
"R_EGD_1009","EGD",1009,"C_EGD_1009","RPC","2nd_S,_v2_p._328-9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_16:10:20"
"R_EGD_101","EGD",101,"C_EGD_101","Pitcairn","v_I,_part_II,_page_230-241",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"same_text_as_JC2_2

JC26_2","SMD","05_15_01_17:33:52","jhm","10_01_02_11:10:03"
"R_EGD_1010","EGD",1010,"C_EGD_1010","RPC","2nd_S,_v2_p._328-9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_16:10:49"
"R_EGD_1011","EGD",1011,"C_EGD_1011","RPC","2nd_S,_v2_p._328-9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_16:14:09"
"R_EGD_1012","EGD",1012,"C_EGD_1012","RPC","2nd_S,_v2_p._328-9",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_18_01_16:14:35"
"R_EGD_1013","EGD",1013,"C_EGD_1013","RPC","2nd_S,_v2_p._353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_09:21:44"
"R_EGD_1014","EGD",1014,"C_EGD_1014","RPC","2nd_S,_v2_p._353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_09:30:01"
"R_EGD_1015","EGD",1015,"C_EGD_1015","RPC","2nd_S,_v2_p._353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_09:30:12"
"R_EGD_1016","EGD",1016,"C_EGD_1016","RPC","2nd_S,_v2_p._353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_09:29:23"
"R_EGD_1017","EGD",1017,"C_EGD_1017","RPC","2nd_S,_v2_p._353",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_09:29:40"
"R_EGD_1018","EGD",1018,"C_EGD_1018","RPC","2nd_S,_v2_p._362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_09:31:13"
"R_EGD_1019","EGD",1019,"C_EGD_1019","RPC","2nd_S,_v2_p._379",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_10:03:44"
"R_EGD_102","EGD",102,"C_EGD_102","Pitcairn","v_I,_part_II,_page_239-241",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"same_text_as_JC2_2

JC26_2","SMD","05_15_01_17:33:52","jhm","10_01_02_11:10:46"
"R_EGD_1020","EGD",1020,"C_EGD_1020","RPC","2nd_S,_v2_p._379",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_10:06:37"
"R_EGD_1021","EGD",1021,"C_EGD_1021","RPC","2nd_S,_v2_p._379",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_10:10:03"
"R_EGD_1022","EGD",1022,"C_EGD_1022","RPC","2nd_S,_v2_p._379",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,"SMD","05_15_01_17:33:52","LEM","07_19_01_10:12:29"
