MotifRef,MotifSystemId,MotifID,CaseRef,Motif_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"RM_JO_10","JO",10,"C_JO_2882","Pilgrimage","jhm","09_07_01_12:37:00","jhm","09_07_01_12:37:02"
"RM_JO_102","JO",102,"C_EGD_935","Trinity","jhm","08_21_02_16:28:37","jhm","08_21_02_16:28:38"
"RM_JO_104","JO",104,"C_EGD_1533","Three","jhm","08_27_02_10:03:13","jhm","08_27_02_10:03:15"
"RM_JO_105","JO",105,"C_JO_3248","Three","jhm","08_28_02_10:26:16","jhm","08_28_02_10:26:19"
"RM_JO_106","JO",106,"C_EGD_1558","Three","jhm","10_08_02_15:51:39","jhm","10_08_02_15:51:41"
"RM_JO_107","JO",107,"C_EGD_745","Nine","jhm","10_11_02_12:15:31","jhm","10_11_02_12:15:33"
"RM_JO_109","JO",109,"C_EGD_2158","Three","jhm","10_24_02_11:22:40","jhm","10_24_02_11:22:41"
"RM_JO_11","JO",11,"C_EGD_2194","Prayer","jhm","09_12_01_09:55:35","jhm","09_12_01_09:55:36"
"RM_JO_110","JO",110,"C_EGD_2168","Three","jhm","10_24_02_12:14:49","jhm","10_24_02_12:14:50"
"RM_JO_111","JO",111,"C_EGD_217","Prayer","jhm","10_24_02_12:17:04","jhm","10_24_02_12:17:04"
"RM_JO_112","JO",112,"C_EGD_2269","Three","jhm","10_24_02_16:30:26","jhm","10_24_02_16:30:27"
"RM_JO_41","JO",41,"C_EGD_2453","Eschatology","jhm","10_23_01_10:50:43","jhm","10_23_01_10:50:48"
"RM_JO_42","JO",42,"C_EGD_2453","Trinity","jhm","10_23_01_10:52:55","jhm","10_23_01_11:02:50"
"RM_JO_45","JO",45,"C_EGD_162","Three","jhm","11_20_01_16:19:23","jhm","11_20_01_16:19:24"
"RM_JO_46","JO",46,"C_EGD_1861","Three","jhm","11_20_01_16:26:20","jhm","11_20_01_16:26:26"
"RM_JO_47","JO",47,"C_EGD_2231","Prayer","jhm","11_23_01_11:21:10","jhm","11_23_01_11:21:13"
"RM_JO_48","JO",48,"C_EGD_2471","Prayer","jhm","11_23_01_14:12:59","jhm","11_23_01_14:13:04"
"RM_JO_49","JO",49,"C_EGD_1309","Three","jhm","11_23_01_15:43:19","jhm","11_23_01_15:43:21"
"RM_JO_5","JO",5,"C_EGD_1861","Cross","jhm","07_31_01_11:56:13","jhm","07_31_01_11:56:17"
"RM_JO_51","JO",51,"C_EGD_1855","Prayer","jhm","02_07_02_14:19:58","jhm","02_07_02_14:19:59"
"RM_JO_52","JO",52,"C_EGD_1825","Prayer","jhm","03_04_02_11:59:21","jhm","03_04_02_11:59:22"
"RM_JO_53","JO",53,"C_EGD_1825","Three","jhm","03_04_02_12:00:18","jhm","03_04_02_12:00:24"
"RM_JO_54","JO",54,"C_EGD_2150","Prayer","jhm","05_08_02_15:01:35","jhm","05_08_02_15:01:36"
"RM_JO_55","JO",55,"C_EGD_2150","Three","jhm","05_08_02_15:01:40","jhm","05_08_02_15:01:41"
"RM_JO_56","JO",56,"C_EGD_2172","Eschatology","jhm","05_08_02_16:52:32","jhm","05_08_02_16:53:19"
"RM_JO_57","JO",57,"C_EGD_2172","Prayer","jhm","05_09_02_11:30:11","jhm","05_09_02_11:30:13"
"RM_JO_58","JO",58,"C_EGD_2172","Saints","jhm","05_09_02_11:30:14","jhm","05_09_02_11:30:15"
"RM_JO_59","JO",59,"C_EGD_2172","Nine","jhm","05_09_02_11:33:33","jhm","05_09_02_11:33:40"
"RM_JO_6","JO",6,"C_EGD_1861","Prayer","jhm","07_31_01_11:56:57","jhm","07_31_01_11:57:01"
"RM_JO_60","JO",60,"C_EGD_2160","Three","jhm","05_09_02_17:03:40","jhm","05_09_02_17:03:42"
"RM_JO_61","JO",61,"C_EGD_2174","Three","jhm","05_13_02_12:17:05","jhm","05_13_02_12:17:07"
"RM_JO_62","JO",62,"C_EGD_2154","Nine","jhm","06_03_02_17:16:07","jhm","06_03_02_17:16:09"
"RM_JO_63","JO",63,"C_EGD_2154","Pilgrimage","jhm","06_03_02_17:16:13","jhm","06_03_02_17:16:14"
"RM_JO_64","JO",64,"C_EGD_2123","Three","jhm","06_10_02_20:49:32","jhm","06_10_02_20:49:33"
"RM_JO_65","JO",65,"C_EGD_2141","Cross","jhm","06_10_02_21:41:27","jhm","06_10_02_21:41:28"
"RM_JO_66","JO",66,"C_EGD_2141","Three","jhm","06_10_02_21:41:30","jhm","06_10_02_21:41:31"
"RM_JO_67","JO",67,"C_EGD_2141","Trinity","jhm","06_10_02_21:41:32","jhm","06_10_02_21:41:33"
"RM_JO_68","JO",68,"C_EGD_2141","Prayer","jhm","06_10_02_21:41:46","jhm","06_10_02_21:41:47"
"RM_JO_69","JO",69,"C_EGD_2141","Nine","jhm","06_10_02_21:41:52","jhm","06_10_02_21:41:52"
"RM_JO_7","JO",7,"C_EGD_2005","Prayer","jhm","07_31_01_15:08:31","jhm","07_31_01_15:08:48"
"RM_JO_70","JO",70,"C_EGD_2312","Three","jhm","06_19_02_13:51:55","jhm","06_19_02_13:51:56"
"RM_JO_71","JO",71,"C_JO_3044","Three","jhm","06_19_02_14:14:22","jhm","06_19_02_14:14:23"
"RM_JO_72","JO",72,"C_EGD_2327","Three","jhm","06_19_02_15:57:20","jhm","06_19_02_15:57:23"
"RM_JO_8","JO",8,"C_EGD_1770","Three","jhm","08_16_01_09:48:58","jhm","08_16_01_09:49:01"
"RM_JO_80","JO",80,"C_JO_3059","Angels","jhm","06_27_02_14:30:32","jhm","06_27_02_14:30:34"
"RM_JO_81","JO",81,"C_EGD_1045","Prayer","jhm","07_03_02_14:22:03","jhm","07_03_02_14:22:05"
"RM_JO_82","JO",82,"C_EGD_1045","Trinity","jhm","07_03_02_14:22:08","jhm","07_03_02_14:22:16"
"RM_JO_83","JO",83,"C_EGD_2262","Prayer","jhm","07_03_02_14:58:34","jhm","07_03_02_14:58:35"
"RM_JO_84","JO",84,"C_EGD_2262","Trinity","jhm","07_03_02_14:58:35","jhm","07_03_02_14:58:36"
"RM_JO_85","JO",85,"C_EGD_2262","Three","jhm","07_03_02_14:59:58","jhm","07_03_02_14:59:59"
"RM_JO_86","JO",86,"C_EGD_2148","Prayer","jhm","07_09_02_09:18:41","jhm","07_09_02_09:18:42"
"RM_JO_87","JO",87,"C_JO_3095","Three","jhm","07_18_02_09:59:43","jhm","07_18_02_09:59:45"
"RM_JO_88","JO",88,"C_EGD_2140","Three","jhm","07_18_02_10:13:10","jhm","07_18_02_10:13:11"
"RM_JO_89","JO",89,"C_JO_3093","Three","jhm","07_18_02_10:26:56","jhm","07_18_02_10:26:57"
"RM_JO_9","JO",9,"C_JO_2882","Holy_well","jhm","09_07_01_12:35:38","jhm","09_07_01_12:36:20"
"RM_LA_1","LA",1,"C_EGD_160","Flask_of_Water","LEM","05_17_01_10:55:22","LEM","05_17_01_10:55:30"
"RM_LA_100","LA",100,"C_EGD_110","Prayer","LEM","07_26_02_10:39:43","LEM","07_26_02_10:40:18"
"RM_LA_101","LA",101,"C_EGD_345","Holy_well","LEM","07_30_02_11:11:04","LEM","07_30_02_11:11:12"
"RM_LA_102","LA",102,"C_EGD_1558","Trinity","LEM","08_22_02_11:01:05","LEM","08_22_02_11:24:26"
"RM_LA_103","LA",103,"C_EGD_1558","Saints","LEM","08_22_02_11:25:47","LEM","08_22_02_11:26:40"
"RM_LA_107","LA",107,"C_EGD_745","Nine","LEM","10_11_02_12:15:42","LEM","10_11_02_12:15:47"
"RM_LA_108","LA",108,"C_JO_3107","Nine","LEM","10_11_02_12:16:01","LEM","10_11_02_12:16:02"
"RM_LA_109","LA",109,"C_EGD_157","Nine","LEM","10_28_02_14:15:51","LEM","10_28_02_14:15:54"
"RM_LA_110","LA",110,"C_EGD_217","Prayer","LEM","10_28_02_16:12:29","LEM","10_28_02_16:12:32"
"RM_LA_114","LA",114,"C_EGD_2410","Nine","LEM","11_11_02_11:16:14","LEM","11_11_02_11:16:26"
"RM_LA_115","LA",115,"C_EGD_170","Baptism_Imagery","LEM","11_18_02_16:44:15","LEM","11_18_02_16:44:31"
"RM_LA_13","LA",13,"C_EGD_147","Nine","LEM","09_26_01_16:04:21","LEM","09_26_01_16:04:23"
"RM_LA_17","LA",17,"C_EGD_142","Three","LEM","10_01_01_13:34:07","LEM","10_01_01_13:34:09"
"RM_LA_18","LA",18,"C_EGD_142","Prayer","LEM","10_01_01_13:35:36","LEM","10_01_01_13:35:39"
