RitualObjectRef,RitualObjectSystemId,RitualObjectID,CaseRef,RitualObject_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"RO_JO_1","JO",1,"C_JO_2632","Yarn","jhm","05_17_01_12:03:06","jhm","11_13_02_15:51:53"
"RO_JO_2","JO",2,"C_JO_2632","Egg","jhm","05_17_01_12:03:28","jhm","11_13_02_15:50:17"
"RO_JO_3","JO",3,"C_JO_2632","Meal","jhm","05_17_01_12:03:35","jhm","11_13_02_15:50:19"
"RO_JO_316","JO",316,"C_EGD_2453","Water","jhm","10_24_01_09:24:42","jhm","10_24_01_09:24:43"
"RO_JO_317","JO",317,"C_EGD_142","Elfshot","jhm","11_06_01_11:52:29","jhm","02_28_02_14:52:17"
"RO_JO_318","JO",318,"C_EGD_45","Elfshot","jhm","11_06_01_11:52:54","LEM","06_14_02_16:54:58"
"RO_JO_319","JO",319,"C_EGD_39","Elfshot","jhm","11_06_01_11:53:18","jhm","11_06_02_11:43:35"
"RO_JO_320","JO",320,"C_EGD_46","Elfshot","jhm","11_06_01_11:54:20","LEM","10_11_02_10:05:25"
"RO_JO_323","JO",323,"C_EGD_63","Elfshot","jhm","11_06_01_11:55:23","LEM","11_07_02_11:25:20"
"RO_JO_326","JO",326,"C_EGD_385","Knife","jhm","11_21_01_09:48:32","jhm","11_21_01_09:48:40"
"RO_JO_327","JO",327,"C_EGD_2231","Wayburn_leaf","jhm","11_23_01_11:12:50","jhm","11_23_01_11:14:43"
"RO_JO_328","JO",328,"C_EGD_2471","Axe","jhm","11_23_01_14:12:43","jhm","11_13_02_12:26:12"
"RO_JO_329","JO",329,"C_EGD_1309","Tree","jhm","11_23_01_15:39:25","jhm","11_23_01_15:43:12"
"RO_JO_331","JO",331,"C_EGD_29","Thread","jhm","11_26_01_15:07:12","jhm","11_13_02_12:39:14"
"RO_JO_338","JO",338,"C_EGD_1906","Bead","jhm","12_04_01_16:15:38","jhm","12_04_01_16:15:40"
"RO_JO_339","JO",339,"C_EGD_2269","Cloth","jhm","01_17_02_15:02:52","jhm","01_17_02_15:02:56"
"RO_JO_340","JO",340,"C_EGD_2260","Urine","jhm","01_23_02_11:33:22","jhm","01_23_02_11:33:23"
"RO_JO_342","JO",342,"C_EGD_2011","Fire","jhm","02_05_02_15:24:34","jhm","02_05_02_15:24:38"
"RO_JO_343","JO",343,"C_EGD_2011","Salt","jhm","02_05_02_15:24:38","jhm","02_05_02_15:24:43"
"RO_JO_348","JO",348,"C_EGD_2387","Fire","jhm","02_07_02_10:23:09","jhm","02_07_02_10:23:16"
"RO_JO_349","JO",349,"C_EGD_1856","Water","jhm","02_07_02_11:15:01","jhm","02_07_02_11:15:06"
"RO_JO_350","JO",350,"C_EGD_1855","Water","jhm","02_07_02_14:19:35","jhm","02_07_02_14:19:40"
"RO_JO_351","JO",351,"C_EGD_1848","Salt","jhm","02_14_02_09:20:32","jhm","02_14_02_09:20:33"
"RO_JO_353","JO",353,"C_EGD_1855","Foxtree_Leaves","jhm","02_14_02_10:48:41","jhm","02_14_02_10:48:45"
"RO_JO_4","JO",4,"C_JO_2632","Shirt","jhm","05_17_01_12:03:43","jhm","11_13_02_15:50:54"
"RO_JO_417","JO",417,"C_EGD_1025","Salve","jhm","02_18_02_16:08:32","jhm","02_18_02_16:08:36"
"RO_JO_418","JO",418,"C_EGD_1025","Drink","jhm","02_18_02_16:08:51","jhm","02_18_02_16:08:54"
"RO_JO_419","JO",419,"C_EGD_1025","Herb","jhm","02_18_02_16:11:53","jhm","02_18_02_16:11:53"
"RO_JO_426","JO",426,"C_EGD_745","Milk","jhm","03_07_02_15:35:20","jhm","03_07_02_15:35:21"
"RO_JO_427","JO",427,"C_EGD_745","Money","jhm","03_07_02_15:35:23","jhm","03_07_02_15:35:24"
"RO_JO_428","JO",428,"C_EGD_745","Nail_trimmings","jhm","03_07_02_15:35:26","jhm","03_07_02_15:35:27"
"RO_JO_429","JO",429,"C_EGD_745","Tree","jhm","03_07_02_15:35:28","jhm","03_07_02_15:35:29"
"RO_JO_431","JO",431,"C_EGD_745","Cloth","jhm","03_07_02_15:37:50","jhm","03_07_02_15:37:51"
"RO_JO_432","JO",432,"C_EGD_2153","Cloth","jhm","03_07_02_16:08:45","jhm","03_07_02_16:08:45"
"RO_JO_433","JO",433,"C_EGD_2153","Hair","jhm","03_07_02_16:08:53","jhm","11_13_02_13:41:21"
"RO_JO_434","JO",434,"C_EGD_2153","Nail_trimmings","jhm","03_07_02_16:08:58","jhm","03_07_02_16:09:00"
"RO_JO_435","JO",435,"C_EGD_2153","Herb","jhm","03_07_02_16:17:39","jhm","03_07_02_16:17:40"
"RO_JO_436","JO",436,"C_EGD_2153","Paper","jhm","03_07_02_16:20:00","jhm","03_07_02_16:20:05"
"RO_JO_437","JO",437,"C_EGD_2362","Water","jhm","03_27_02_10:24:36","jhm","03_27_02_10:24:37"
"RO_JO_438","JO",438,"C_EGD_2362","Salt","jhm","03_27_02_10:24:37","jhm","03_27_02_10:24:38"
"RO_JO_439","JO",439,"C_EGD_2362","Cloth","jhm","03_27_02_10:27:28","jhm","03_27_02_10:27:38"
"RO_JO_440","JO",440,"C_EGD_785","Plant","jhm","04_17_02_10:15:26","jhm","04_17_02_10:15:28"
"RO_JO_441","JO",441,"C_EGD_785","Salve","jhm","04_17_02_10:15:30","jhm","04_17_02_10:15:36"
"RO_JO_442","JO",442,"C_EGD_785","Water","jhm","04_17_02_10:15:37","jhm","04_17_02_10:15:38"
"RO_JO_443","JO",443,"C_JO_3012","Bannock","jhm","04_17_02_11:42:46","jhm","04_17_02_11:42:47"
"RO_JO_444","JO",444,"C_JO_3012","Tobacco","jhm","04_17_02_11:42:48","jhm","04_17_02_11:42:52"
"RO_JO_445","JO",445,"C_EGD_2119","Cloth","jhm","05_02_02_12:37:55","jhm","05_02_02_12:37:56"
"RO_JO_446","JO",446,"C_EGD_2119","Thread","jhm","05_02_02_12:59:42","jhm","11_13_02_12:39:43"
"RO_JO_447","JO",447,"C_EGD_2119","Herb","jhm","05_02_02_12:59:45","jhm","05_02_02_12:59:49"
"RO_JO_448","JO",448,"C_EGD_2119","Fire","jhm","05_02_02_13:01:13","jhm","05_02_02_13:01:14"
"RO_JO_449","JO",449,"C_EGD_2119","Water","jhm","05_02_02_13:02:48","jhm","05_02_02_13:02:53"
"RO_JO_45","JO",45,"C_EGD_884","Salt","jhm","07_23_01_10:41:27","jhm","07_23_01_10:41:29"
"RO_JO_450","JO",450,"C_EGD_2150","Cloth","jhm","05_08_02_14:50:34","jhm","05_08_02_14:50:35"
"RO_JO_451","JO",451,"C_EGD_2150","Fire","jhm","05_08_02_14:50:55","jhm","05_08_02_14:50:57"
"RO_JO_452","JO",452,"C_EGD_2150","Crook","jhm","05_08_02_14:51:21","jhm","05_08_02_14:51:24"
"RO_JO_453","JO",453,"C_EGD_2150","Herb","jhm","05_08_02_14:51:35","jhm","05_08_02_14:51:36"
"RO_JO_454","JO",454,"C_EGD_2172","Water","jhm","05_09_02_11:28:21","jhm","05_09_02_11:28:22"
"RO_JO_455","JO",455,"C_EGD_2172","Bird_(dead)","jhm","05_09_02_11:28:22","jhm","05_09_02_11:28:24"
"RO_JO_456","JO",456,"C_EGD_2172","Yarn","jhm","05_09_02_11:28:57","jhm","05_09_02_11:33:26"
"RO_JO_457","JO",457,"C_EGD_2172","Salt","jhm","05_09_02_11:29:02","jhm","05_09_02_11:29:03"
"RO_JO_458","JO",458,"C_EGD_2172","Blood_(animal)","jhm","05_09_02_11:30:32","jhm","05_09_02_11:30:35"
"RO_JO_459","JO",459,"C_EGD_2172","Stones","jhm","05_09_02_11:32:51","jhm","05_09_02_11:32:53"
"RO_JO_46","JO",46,"C_EGD_884","Shirt","jhm","07_23_01_10:41:31","LEM","11_11_02_11:15:29"
"RO_JO_460","JO",460,"C_EGD_2172","Cat","jhm","05_09_02_11:34:29","jhm","05_09_02_11:34:34"
"RO_JO_461","JO",461,"C_EGD_2172","Dog","jhm","05_09_02_11:36:38","jhm","05_09_02_11:36:41"
"RO_JO_462","JO",462,"C_EGD_2172","Plough","jhm","05_09_02_11:46:24","jhm","05_09_02_11:46:29"
"RO_JO_463","JO",463,"C_EGD_2160","Pottage","jhm","05_09_02_16:55:53","LEM","09_19_02_10:01:12"
"RO_JO_464","JO",464,"C_EGD_2160","Stones","jhm","05_09_02_17:01:33","jhm","05_09_02_17:01:34"
"RO_JO_465","JO",465,"C_EGD_2174","Feathers","jhm","05_13_02_12:17:00","jhm","05_13_02_12:17:01"
"RO_JO_466","JO",466,"C_EGD_2174","Fire","jhm","05_13_02_12:18:48","jhm","05_13_02_12:18:49"
"RO_JO_467","JO",467,"C_EGD_2174","Cockerel","jhm","05_13_02_12:18:51","jhm","05_13_02_12:19:02"
"RO_JO_468","JO",468,"C_EGD_2174","Thread","jhm","05_13_02_12:20:13","jhm","11_13_02_12:40:20"
"RO_JO_469","JO",469,"C_EGD_2174","Wax_clay_images","jhm","05_13_02_12:22:40","jhm","05_13_02_12:22:42"
"RO_JO_47","JO",47,"C_EGD_884","Water","jhm","07_23_01_10:41:50","jhm","07_23_01_10:41:51"
"RO_JO_470","JO",470,"C_EGD_2173","Shoes","jhm","05_14_02_11:04:27","jhm","05_14_02_11:04:33"
