ShapeChangingRef,ShapeChangingSystemId,ShapeChangingID,CaseRef,ShapeChanging_Type,Details,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"SC_JO_1","JO",1,"C_EGD_2120","Animal","dog_(tyke)","jhm","05_16_01_16:50:39","jhm","06_25_01_10:01:18"
"SC_JO_14","JO",14,"C_EGD_402","Animal","cat","jhm","07_11_01_10:15:37","jhm","07_11_01_10:15:43"
"SC_JO_15","JO",15,"C_EGD_400","Animal","cat","jhm","07_16_01_10:45:45","jhm","07_16_01_10:45:51"
"SC_JO_16","JO",16,"C_JO_2846","Apparition","as_herself","jhm","07_24_01_10:27:32","jhm","11_13_02_14:29:50"
"SC_JO_17","JO",17,"C_JO_2882","Animal","cats","jhm","09_07_01_13:14:27","jhm","09_07_01_13:14:33"
"SC_JO_38","JO",38,"C_EGD_2159","Animal","Dog","jhm","05_09_02_13:03:12","jhm","05_09_02_13:03:15"
"SC_JO_39","JO",39,"C_EGD_2159","Animal","Cat","jhm","05_09_02_13:04:56","jhm","05_09_02_13:04:59"
"SC_JO_40","JO",40,"C_EGD_2160","Apparition","as_herself_or_a_devil_in_her_likeness","jhm","05_09_02_16:59:43","jhm","11_13_02_14:30:44"
"SC_JO_41","JO",41,"C_EGD_2122","Animal","hares","jhm","06_10_02_18:49:18","jhm","06_10_02_18:49:21"
"SC_JO_42","JO",42,"C_EGD_2122","Animal","cats","jhm","06_10_02_18:49:22","jhm","06_10_02_18:49:25"
"SC_JO_43","JO",43,"C_EGD_2327","Animal","porpoise_(pellack_whale)","jhm","06_19_02_16:32:47","jhm","06_19_02_16:33:06"
"SC_JO_44","JO",44,"C_EGD_297","Animal","cat","jhm","07_04_02_10:59:15","jhm","07_04_02_10:59:20"
"SC_JO_45","JO",45,"C_EGD_297","Animal","black_dog","jhm","07_04_02_10:59:21","jhm","07_04_02_10:59:45"
"SC_JO_46","JO",46,"C_EGD_294","Animal","Margaret_Duchill_appeared_as_a_cat","jhm","07_04_02_11:54:44","jhm","07_04_02_11:55:03"
"SC_JO_47","JO",47,"C_EGD_294","Animal","she_took_shape_of_cat","jhm","07_04_02_14:18:00","jhm","07_04_02_14:18:23"
"SC_JO_48","JO",48,"C_EGD_2140","Animal","as_a_hare","jhm","07_18_02_10:17:19","jhm","07_18_02_10:17:23"
"SC_JO_5","JO",5,"C_EGD_1324","Animal","cat","jhm","06_13_01_12:41:21","jhm","06_13_01_12:41:30"
"SC_JO_54","JO",54,"C_EGD_1558","Animal","cat","jhm","10_08_02_15:51:16","jhm","10_08_02_15:51:22"
"SC_JO_55","JO",55,"C_EGD_1558","Animal","hare","jhm","10_08_02_15:51:23","jhm","10_08_02_15:51:25"
"SC_LA_1","LA",1,"C_EGD_160","Animal","Hare","LEM","05_17_01_10:52:20","LEM","05_17_01_10:52:27"
"SC_LA_10","LA",10,"C_EGD_434","Apparition","to_man_in_his_sleep","LEM","07_03_01_13:27:30","jhm","11_13_02_14:30:52"
"SC_LA_11","LA",11,"C_EGD_434","Apparition","to_a_man_caught_in_a_whirlwind","LEM","07_03_01_13:27:44","jhm","11_13_02_14:31:04"
