SourceRef,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"Abbotsford_Club_Miscellany","LEM","06_17_02_11:12:29","jhm","09_18_02_15:04:26"
"Aberdeen_City_Archives","jhm","07_25_02_12:53:16","jhm","07_25_02_12:53:16"
"Aberdeen_Presbytery_records","jhm","03_11_02_16:04:36","jhm","03_11_02_16:04:36"
"Aberdour_Kirk_session_records","jhm","06_28_02_14:12:01","jhm","06_28_02_14:12:01"
"An_Old_Kirk_Chronicle","jhm","09_04_01_14:13:43","jhm","09_04_01_14:13:43"
"APS","jhm","07_17_01_09:19:17","jhm","07_17_01_09:19:17"
"Argyll_Justiciary_Records","jhm","06_27_01_12:02:22","jhm","06_27_01_12:02:22"
"Ayr_Burgh_Accounts","LEM","08_14_01_09:38:53","LEM","08_14_01_09:38:53"
"Ayr_Council_Records_(MS_in_Carnegie_Library_Ayr)","LEM","08_01_02_16:37:46","LEM","08_01_02_16:37:46"
"Ayr_Kirk_Session_records","jhm","08_21_01_16:11:13","jhm","08_21_01_16:11:13"
"Ayr_Presbytery_Records","LEM","08_02_02_10:46:12","LEM","08_02_02_10:46:12"
"Biggar_Presbytery_records","jhm","08_02_01_10:21:02","jhm","08_02_01_10:21:02"
"Book_of_the_Universall_Kirk_._._T_Thompson_(ed.)","LEM","08_01_02_17:05:19","LEM","08_01_02_17:05:19"
"Books_of_Adjournal","LEM","06_15_01_16:23:18","LEM","06_15_01_16:23:18"
"Brechin_Presbytery_records","jhm","02_05_02_13:13:41","jhm","02_05_02_13:13:41"
"Burgh_Court_Book_of_Newton_on_Ayr_(MS,_Cargegie_L)","LEM","08_05_02_12:27:22","LEM","08_05_02_12:27:22"
"Caithness_Presbytery_records","jhm","04_17_02_09:12:59","jhm","04_17_02_09:12:59"
"Calendar_of_State_Papers_Relating_to_Scotland","jhm","11_12_02_09:03:53","jhm","11_12_02_09:03:53"
"Canongate_Burgh_Court_Book_1574-77","LEM","07_10_02_09:02:46","LEM","07_10_02_09:02:46"
"Circuit_Court_Books","LEM","11_26_01_12:13:01","LEM","11_26_01_12:13:01"
"Circuit_Court_Papers","LEM","02_04_02_10:22:24","LEM","02_04_02_10:22:24"
"Committee_of_Estates","LEM","08_30_02_13:54:15","LEM","08_30_02_13:54:15"
"Corstorphine_Kirk_Session_records","jhm","07_11_02_10:17:01","jhm","07_11_02_10:17:01"
"County_Folklore","jhm","06_19_02_16:07:23","jhm","06_19_02_16:07:23"
"Court_of_the_Bishopric_of_Orkney","LEM","06_17_02_16:17:49","LEM","06_17_02_16:17:49"
"Cupar_Presbytery_records","jhm","08_01_02_11:49:33","jhm","08_01_02_11:49:33"
"Dalkeith_Kirk_Session_records","jhm","07_23_02_13:32:20","jhm","07_23_02_13:32:20"
"Dalkeith_Presbytery_records","jhm","06_29_01_12:41:53","jhm","06_29_01_12:41:53"
"Dingwall_Presbytery_records","jhm","04_02_02_11:04:39","jhm","04_02_02_11:04:39"
"Domestic_Annals_of_Scotland","LEM","08_02_02_11:43:34","LEM","08_02_02_11:43:34"
"Dumfries_Kirk_Session_records","jhm","05_01_02_16:17:25","jhm","05_01_02_16:17:25"
"Dumfries_Presbytery_records","jhm","10_03_01_09:22:39","jhm","10_03_01_09:22:39"
"Dunbar_Presbytery_records","jhm","06_26_01_11:08:47","jhm","06_26_01_11:08:47"
"Dunbarton_Presbytery_records","jhm","10_18_02_15:21:47","jhm","10_18_02_15:21:47"
"Dunblane_Presbytery_records","jhm","06_26_02_11:07:33","jhm","06_26_02_11:07:33"
"Dundas_Papers","jhm","09_09_02_15:20:23","jhm","09_09_02_15:20:23"
"Dundee_Presbytery_records","jhm","07_16_02_10:03:07","jhm","07_16_02_10:03:07"
