Trialref,TrialId,TrialSystemId,CaseRef,TrialType,Trial_settlement,Trial_parish,Trial_presbytery,Trial_county,Trial_burgh,Trial_NGR_Letters,Trial_NGR_Easting,Trial_NGR_Northing,Watching,WatchingDate,WatchingDate_as_date,Arrest,ArrestDate,ArrestDate_as_date,Fled,FledDate,FledDate_as_date,ActionDropped,Actiondropdate,Actiondropdate_as_date,Actiondroppedby,Actionbody,Confrontingsuspects,PretrialNotes,ProcessType,TrialDate,TrialDate_as_date,TrialPlace,Female_accusers,Male_accusers,High_status,Defence,Verdict,Sentence,Cjtorder,Cjtdate,Cjtdate_as_date,Circuit,Circuitname,Localwithcrep,Noreftocentral,TrialNotes,Execution,Executionmethod,ExecutionDate,ExecutionDate_as_date,ExecutionPlace,Exec_settlement,Exec_parish,Exec_presbytery,Exec_county,Exec_burgh,Exec_NGR_Letters,Exec_NGR_Easting,Exec_NGR_Northing,PostTrialNotes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"T_JO_1",1,"JO","C_EGD_2120",2,,,"Aberdeen","Aberdeen","Aberdeen",,,,0,,,0,,,0,,,0,,,,,0,,,"17_2_1597","02_17_97_00:00:00","Tolbooth",19,25,0,0,"Guilty","Execution",0,,,0,,0,0,,1,"Burn",,,,,,,,"Aberdeen",,,,,"jhm","05_16_01_15:04:51","jhm","10_24_02_09:32:53"
"T_JO_100",100,"JO","C_JO_2669",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Presbytery_notes_that_none_of_the_accused_are_subject_to_the_authority_of_ministers_or_the_presbytery_and_so_cannot_attest_their_depositions._Makghie_nominated_to_witness_their_confessions_before_commission_can_be_requested.__Note_about_re-examining_the_suspects_in_order_to_confirm_their_depositions._Once_this_had_been_done_commission_was_to_be_requested.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_trial_details.",0,,,,,,,,,,,,,,"jhm","06_14_01_14:29:49","LEM","11_04_02_10:07:05"
"T_JO_1000",1000,"JO","C_EGD_1474",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Commission_issued_after_accused_had_confessed_to_some_aspect_of_witchcraft_but_PC_urged_the_commissioners_not_to_use_torture_and_to_ensure_that_the_accused_are_mentally_and_legally_competent_to_stand_trial.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,,"jhm","10_11_01_16:24:03","jhm","10_08_02_10:56:06"
"T_JO_1001",1001,"JO","C_EGD_1558",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Commission_for_trial_but_the_accused_was_to_be_legally_and_mentally_competent_to_stand_trial.",,,,,0,0,0,0,,,0,,,0,,0,0,,0,,,,,,,,,,,,,,"jhm","10_18_01_11:54:03","jhm","10_18_01_11:55:28"
"T_JO_1002",1002,"JO","C_EGD_1681",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Commission_issued_after_accused_had_confessed_but_PC_urged_caution_about_use_of_torture._The_accusedwas__to_confess_voluntarily_and_be_of_legal_and_mental_competency_to_stand_trial.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_12:23:35","jhm","10_21_02_16:11:47"
"T_JO_1003",1003,"JO","C_EGD_1680",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Commission_issued_after_the_accused_had_confessed.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_12:44:59","jhm","10_18_01_12:46:17"
"T_JO_1004",1004,"JO","C_EGD_1682",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Commission_issued_after_the_accused_had_confessed.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_12:47:54","jhm","10_18_01_12:49:13"
"T_JO_1005",1005,"JO","C_EGD_1683",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Commission_issued_after_the_accused_had_confessed.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_12:50:55","jhm","10_18_01_12:53:24"
"T_JO_1006",1006,"JO","C_JO_2902",2,,,,,,,,,0,,,0,,,0,,,0,,,,,0,"Commission_issued_after_the_accused_had_confessed.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_12:55:13","jhm","10_18_01_12:55:53"
"T_JO_1007",1007,"JO","C_EGD_1689",2,,,,,,,,,0,,,1,,,0,,,0,,,,,0,"Commission_issued,_accused_already_imprisoned.",,,,,0,0,0,0,,,0,,,0,,0,0,"No_details",0,,,,,,,,,,,,,"No_details","jhm","10_18_01_15:02:50","jhm","10_21_02_16:18:29"
