WhiteMagicRef,WhiteMagicSystemId,WhiteMagicID,CaseRef,WhiteMagic_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"WM_JO_2","JO",2,"C_EGD_2121","Prophesy","jhm","06_05_01_14:57:54","jhm","06_05_01_14:59:24"
"WM_JO_25","JO",25,"C_EGD_2453","Prophesy","jhm","10_23_01_10:50:37","jhm","10_23_01_10:50:40"
"WM_JO_27","JO",27,"C_EGD_1339","Prophesy","jhm","11_20_01_15:46:06","jhm","11_20_01_15:46:09"
"WM_JO_30","JO",30,"C_EGD_2540","Protective","jhm","01_17_02_14:36:34","jhm","01_17_02_14:36:37"
"WM_JO_31","JO",31,"C_EGD_2270","Protective","jhm","01_17_02_14:43:55","jhm","01_17_02_14:44:00"
"WM_JO_32","JO",32,"C_EGD_1284","Prophesy","jhm","02_08_02_11:10:44","jhm","02_08_02_11:10:48"
"WM_JO_33","JO",33,"C_JO_3013","Prophesy","jhm","04_17_02_12:02:50","jhm","04_17_02_12:03:32"
"WM_JO_34","JO",34,"C_EGD_2119","Prophesy","jhm","05_02_02_13:02:22","jhm","05_02_02_13:02:27"
"WM_JO_35","JO",35,"C_EGD_2150","Love_magic","jhm","05_08_02_14:50:08","jhm","05_08_02_14:50:11"
"WM_JO_36","JO",36,"C_EGD_2172","Protective","jhm","05_08_02_16:49:30","jhm","05_08_02_16:49:43"
"WM_JO_37","JO",37,"C_EGD_2172","Prophesy","jhm","05_09_02_11:48:27","jhm","05_09_02_11:48:28"
"WM_JO_38","JO",38,"C_EGD_2159","Love_magic","jhm","05_09_02_13:00:03","jhm","05_09_02_13:00:04"
"WM_JO_39","JO",39,"C_EGD_2163","Prophesy","jhm","05_14_02_16:09:52","jhm","05_14_02_16:09:53"
"WM_JO_4","JO",4,"C_EGD_1770","Prophesy","jhm","08_16_01_09:27:17","jhm","08_16_01_09:28:15"
"WM_JO_40","JO",40,"C_EGD_2161","Prophesy","jhm","06_03_02_12:24:25","jhm","06_03_02_12:24:31"
"WM_JO_41","JO",41,"C_JO_3036","Protective","jhm","06_03_02_15:49:04","jhm","06_03_02_15:49:04"
"WM_JO_42","JO",42,"C_EGD_2154","Protective","jhm","06_03_02_17:15:17","jhm","10_24_02_11:11:26"
"WM_JO_43","JO",43,"C_JO_3033","Prophesy","jhm","06_10_02_17:26:50","jhm","06_10_02_17:27:00"
"WM_JO_44","JO",44,"C_EGD_2141","Protective","jhm","06_10_02_21:41:57","jhm","06_10_02_21:42:00"
"WM_JO_45","JO",45,"C_JO_3044","Finding_lost_goods","jhm","06_19_02_14:17:14","jhm","06_19_02_14:17:15"
"WM_JO_46","JO",46,"C_JO_3044","Prophesy","jhm","06_19_02_14:20:49","jhm","06_19_02_14:20:50"
"WM_JO_47","JO",47,"C_EGD_2288","Prophesy","jhm","06_19_02_14:26:04","jhm","06_19_02_14:26:05"
"WM_JO_48","JO",48,"C_EGD_2285","Prophesy","jhm","06_19_02_14:52:58","jhm","06_19_02_14:52:59"
"WM_JO_49","JO",49,"C_JO_3055","Finding_lost_goods","jhm","06_19_02_15:39:13","jhm","06_19_02_15:39:14"
"WM_JO_5","JO",5,"C_EGD_1924","Prophesy","jhm","09_25_01_10:01:23","jhm","09_25_01_10:01:39"
"WM_JO_55","JO",55,"C_JO_3059","Finding_lost_goods","jhm","06_27_02_14:30:02","jhm","06_27_02_14:30:04"
"WM_JO_56","JO",56,"C_JO_3061","Prophesy","jhm","06_28_02_09:55:35","jhm","06_28_02_09:55:36"
"WM_JO_57","JO",57,"C_EGD_1045","Divination","jhm","07_03_02_14:26:38","jhm","07_03_02_14:26:39"
"WM_JO_58","JO",58,"C_EGD_2158","Love_magic","jhm","07_09_02_11:47:31","jhm","07_09_02_11:47:33"
"WM_JO_59","JO",59,"C_JO_3096","Love_magic","jhm","07_09_02_15:04:07","jhm","07_09_02_15:04:08"
"WM_JO_60","JO",60,"C_EGD_2367","Prophesy","jhm","07_11_02_10:25:54","LEM","11_11_02_11:17:59"
"WM_JO_61","JO",61,"C_JO_3090","Prophesy","jhm","07_18_02_08:51:11","LEM","11_11_02_11:18:14"
"WM_JO_62","JO",62,"C_EGD_2158","Prophesy","jhm","07_18_02_09:26:58","LEM","11_11_02_11:18:29"
"WM_JO_63","JO",63,"C_EGD_2140","Protective","jhm","07_18_02_10:19:22","jhm","07_18_02_10:19:26"
"WM_JO_64","JO",64,"C_JO_3093","Prophesy","jhm","07_18_02_10:24:22","LEM","11_11_02_11:18:57"
"WM_JO_65","JO",65,"C_EGD_2394","Prophesy","jhm","07_22_02_12:17:15","jhm","10_29_02_10:22:28"
"WM_JO_66","JO",66,"C_EGD_2401","Prophesy","jhm","07_22_02_12:23:07","jhm","10_29_02_10:37:41"
"WM_JO_67","JO",67,"C_EGD_1545","Prophesy","jhm","07_22_02_12:30:07","jhm","10_08_02_15:27:58"
"WM_JO_68","JO",68,"C_EGD_1545","Finding_lost_goods","jhm","07_22_02_12:30:54","jhm","07_22_02_12:30:55"
"WM_JO_69","JO",69,"C_EGD_2400","Prophesy","jhm","07_22_02_12:35:00","jhm","10_29_02_10:36:09"
"WM_JO_70","JO",70,"C_JO_3247","Finding_lost_goods","jhm","08_27_02_13:44:48","jhm","08_27_02_13:44:50"
"WM_JO_71","JO",71,"C_EGD_1888","Protective","jhm","09_04_02_10:00:36","jhm","09_04_02_10:00:38"
"WM_JO_74","JO",74,"C_EGD_171","Love_magic","jhm","10_21_02_16:45:13","jhm","10_21_02_16:45:18"
"WM_LA_1","LA",1,"C_EGD_172","Love_magic","LEM","05_21_01_15:52:17","LEM","05_21_01_15:52:18"
"WM_LA_10","LA",10,"C_EGD_103","Finding_lost_goods","LEM","10_10_01_13:30:44","LEM","10_10_01_13:30:54"
"WM_LA_11","LA",11,"C_EGD_104","Love_magic","LEM","10_16_01_10:12:35","LEM","10_16_01_10:12:36"
"WM_LA_12","LA",12,"C_EGD_104","Finding_lost_goods","LEM","10_16_01_10:12:37","LEM","10_16_01_10:12:39"
"WM_LA_13","LA",13,"C_EGD_63","Finding_lost_goods","LEM","10_16_01_10:35:19","LEM","10_16_01_10:35:21"
"WM_LA_14","LA",14,"C_EGD_63","Love_magic","LEM","10_16_01_10:35:22","LEM","10_16_01_10:35:29"
"WM_LA_15","LA",15,"C_EGD_1277","Protective","LEM","10_16_01_12:58:03","LEM","10_16_01_12:58:16"
"WM_LA_16","LA",16,"C_EGD_1258","Protective","LEM","10_16_01_13:02:09","LEM","10_16_01_13:02:11"
"WM_LA_17","LA",17,"C_EGD_1276","Protective","LEM","10_16_01_13:11:37","LEM","10_16_01_13:11:38"
"WM_LA_18","LA",18,"C_EGD_1268","Protective","LEM","10_16_01_15:25:33","LEM","10_16_01_15:25:34"
