MeetingPlaceRef,MeetingPlaceSystemId,MeetingPlaceID,CaseRef,MeetingPlace_Place,Inversion,Location,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"MP_JO_137","JO",137,"C_EGD_1954","Yard",0,"own_house","jhm","07_10_01_09:12:34","jhm","07_10_01_09:14:58"
"MP_JO_138","JO",138,"C_EGD_402",,0,"going_to_Edinburgh","jhm","07_10_01_09:21:16","jhm","07_10_01_09:22:35"
"MP_JO_139","JO",139,"C_JO_2830",,0,"'moremaddenhole'_Leith","jhm","07_10_01_10:05:45","jhm","07_10_01_10:06:36"
"MP_JO_140","JO",140,"C_JO_2830",,0,"the_'Latch'_Edinburgh","jhm","07_10_01_10:06:00","jhm","07_10_01_10:06:13"
"MP_JO_141","JO",141,"C_JO_2830","Burn",0,,"jhm","07_10_01_10:06:57","jhm","07_10_01_10:08:10"
"MP_JO_142","JO",142,"C_LA_2786",,0,"Windygoul","jhm","07_10_01_10:33:20","jhm","07_10_01_10:33:34"
"MP_JO_143","JO",143,"C_LA_2786","Hilltop",0,"Parson's_Knoll","jhm","07_10_01_10:33:36","jhm","07_10_01_10:33:54"
"MP_JO_146","JO",146,"C_EGD_402","House",0,"her_own_house","jhm","07_10_01_11:06:07","jhm","07_10_01_11:06:32"
"MP_JO_147","JO",147,"C_EGD_402",,0,"Jock's_Lodge","jhm","07_10_01_11:07:20","jhm","07_10_01_11:07:33"
"MP_JO_148","JO",148,"C_LA_2785","House_yard",0,"own_house","jhm","07_10_01_12:06:03","jhm","07_10_01_12:06:14"
"MP_JO_149","JO",149,"C_LA_2785","House",0,"in_bedroom","jhm","07_10_01_12:06:24","jhm","07_10_01_12:06:37"
"MP_JO_150","JO",150,"C_EGD_395","House",0,"own_house","jhm","07_10_01_12:44:28","jhm","07_10_01_12:44:38"
"MP_JO_151","JO",151,"C_EGD_397","Loch",0,"lochside,_beside_meadow","jhm","07_10_01_13:00:51","jhm","07_10_01_13:01:16"
"MP_JO_152","JO",152,"C_EGD_401","Hilltop",0,"Gallolaw","jhm","07_10_01_15:23:38","jhm","07_10_01_15:23:45"
"MP_JO_153","JO",153,"C_EGD_401",,0,"Jock's_Lodge","jhm","07_10_01_15:23:46","jhm","07_10_01_15:24:03"
"MP_JO_154","JO",154,"C_EGD_1954","Road",0,"Restalrig_Loan","jhm","07_10_01_15:36:41","jhm","07_10_01_15:37:07"
"MP_JO_157","JO",157,"C_EGD_398","House",0,"own_house_window","jhm","07_10_01_15:52:40","jhm","07_10_01_15:53:02"
"MP_JO_158","JO",158,"C_EGD_401","Burn",0,"North_Meadow_burn","jhm","07_10_01_16:05:11","jhm","07_10_01_16:05:28"
"MP_JO_159","JO",159,"C_EGD_396","Yard",0,"Andrew_Simmon's_whinns","jhm","07_11_01_09:52:39","jhm","07_11_01_09:53:48"
"MP_JO_160","JO",160,"C_EGD_400","Mill",0,"'Breastmilne'","jhm","07_11_01_13:06:02","jhm","07_11_01_13:07:37"
"MP_JO_165","JO",165,"C_EGD_400",,0,"Brownesmith?","jhm","07_16_01_10:42:38","jhm","07_16_01_10:45:40"
"MP_JO_170","JO",170,"C_JO_2846","Coalpit",0,"Southhundall?","jhm","07_24_01_10:43:03","jhm","07_24_01_10:44:55"
"MP_JO_173","JO",173,"C_EGD_1298","Burn",0,"Swynisburne","jhm","07_26_01_16:09:19","jhm","07_26_01_16:09:27"
"MP_JO_174","JO",174,"C_EGD_1817","House",0,"mother's_house","jhm","07_31_01_13:32:36","jhm","10_22_02_12:54:45"
"MP_JO_175","JO",175,"C_EGD_2005","Hilltop",0,"Gallowberry_Hill","jhm","07_31_01_14:58:50","jhm","07_31_01_15:28:36"
"MP_JO_176","JO",176,"C_EGD_1859","Hilltop",0,"Gallowberry_Hill","jhm","07_31_01_15:27:41","jhm","07_31_01_15:28:11"
"MP_JO_177","JO",177,"C_EGD_1860",,0,"Kirkurd","jhm","07_31_01_15:46:59","jhm","07_31_01_15:47:08"
"MP_JO_178","JO",178,"C_JO_2882","House",0,"own_house","jhm","09_07_01_12:20:30","jhm","09_07_01_12:20:46"
"MP_JO_179","JO",179,"C_JO_2882","Bridge",0,"Lintoun_Bridge","jhm","09_07_01_13:26:14","jhm","09_07_01_13:26:59"
"MP_JO_294","JO",294,"C_EGD_1367","Haugh",0,"Samuelston","jhm","10_19_01_10:34:59","jhm","10_19_01_10:37:08"
"MP_JO_295","JO",295,"C_EGD_1367","House",0,"Own_house","jhm","10_19_01_10:36:50","jhm","10_19_01_10:36:56"
"MP_JO_296","JO",296,"C_EGD_1368","Burn",0,"black_burn_beside_Calfward","jhm","10_19_01_10:56:11","jhm","10_19_01_10:56:39"
"MP_JO_297","JO",297,"C_EGD_1368","Moor",0,"Begbiemure","jhm","10_19_01_10:56:45","jhm","10_19_01_10:57:31"
